t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279437960990600e+11,-2.092154368386829e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999999e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279437968992198e+11,-2.043876949245512e+08,3.751667303408742e+00,2.412989223132015e+04,4.211782693972149e+00,2.682092330704201e+04,1.689907654034897e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279437976153355e+11,-1.995599043562557e+08,3.291873904866935e+00,2.412989229842725e+04,3.745909124030210e+00,2.682119437644688e+04,1.685064800552940e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279437982476426e+11,-1.947320648562017e+08,2.832080505144406e+00,2.412989235677301e+04,3.279982609251086e+00,2.682146699603899e+04,1.680221465685660e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279437987962039e+11,-1.899041761441870e+08,2.372287104437914e+00,2.412989240635743e+04,2.814002532738709e+00,2.682174117950789e+04,1.675377645288113e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279437992606964e+11,-1.850762379372104e+08,1.912493702870067e+00,2.412989244718053e+04,2.347968268542494e+00,2.682201694065948e+04,1.670533337864668e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279437996413734e+11,-1.802482499502430e+08,1.452700300607813e+00,2.412989247924230e+04,1.881879181543531e+00,2.682229429353165e+04,1.665688540046859e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279437999382553e+11,-1.754202118955277e+08,9.929068978180967e-01,2.412989250254274e+04,1.415734627144830e+00,2.682257325230182e+04,1.660843248078301e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279438001510426e+11,-1.705921234824911e+08,5.331134946613598e-01,2.412989251708184e+04,9.495339512132307e-01,2.682285383127865e+04,1.655997460563512e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279438002799878e+11,-1.657639844183917e+08,7.332009130373084e-02,2.412989252285962e+04,4.832764899341719e-01,2.682313604500777e+04,1.651151173996060e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279438003251063e+11,-1.609357944076688e+08,-3.864733120793816e-01,2.412989251987606e+04,1.696156950147903e-02,2.682341990818089e+04,1.646304385400604e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279438002861035e+11,-1.561075531518878e+08,-8.462667153206772e-01,2.412989250813118e+04,-4.494114939482788e-01,2.682370543563053e+04,1.641457091892538e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279438001632109e+11,-1.512792603502970e+08,-1.306060118243503e+00,2.412989248762495e+04,-9.158433945024135e-01,2.682399264243046e+04,1.636609290234346e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279437999564789e+11,-1.464509156992810e+08,-1.765853520692110e+00,2.412989245835741e+04,-1.382334836782432e+00,2.682428154381584e+04,1.631760978337641e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279437996655977e+11,-1.416225188922392e+08,-2.225646922499553e+00,2.412989242032852e+04,-1.848886536030248e+00,2.682457215516434e+04,1.626912152379483e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279437992907575e+11,-1.367940696201050e+08,-2.685440323498885e+00,2.412989237353831e+04,-2.315499218284713e+00,2.682486449210065e+04,1.622062809688393e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279437988320843e+11,-1.319655675709329e+08,-3.145233723548724e+00,2.412989231798677e+04,-2.782173620694096e+00,2.682515857043285e+04,1.617212947041410e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279437982892331e+11,-1.271370124296447e+08,-3.605027122489859e+00,2.412989225367390e+04,-3.248910491634317e+00,2.682545440610735e+04,1.612362561012120e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279437976623309e+11,-1.223084038785426e+08,-4.064820520122042e+00,2.412989218059970e+04,-3.715710590885211e+00,2.682575201532312e+04,1.607511648655783e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279437969516224e+11,-1.174797415970528e+08,-4.524613916278329e+00,2.412989209876416e+04,-4.182574689946915e+00,2.682605141449262e+04,1.602660207678807e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279437961567059e+11,-1.126510252612928e+08,-4.984407310791773e+00,2.412989200816730e+04,-4.649503572199207e+00,2.682635262015566e+04,1.597808233131905e+08
3.78000000e+03,2.279399941983967e+11,5.142795837873688e+07,2.279437952776228e+11,-1.078222545446173e+08,-5.444200703495425e+00,2.412989190880910e+04,-5.116498033072824e+00,2.682665564911011e+04,1.592955723890428e+08
3.96000000e+03,2.279399931770591e+11,5.577133891317239e+07,2.279437943147810e+11,-1.029934291175015e+08,-5.903994094222343e+00,2.412989180068958e+04,-5.583558880360661e+00,2.682696051840659e+04,1.588102674920970e+08
4.14000000e+03,2.279399920729588e+11,6.011471942735787e+07,2.279437932677002e+11,-9.816454864692377e+07,-6.363787482805575e+00,2.412989168380872e+04,-6.050686934447778e+00,2.682726724520394e+04,1.583249084668101e+08
