t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279205377931654e+11,-2.081372246107599e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000007e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279205385965456e+11,-2.033094828473901e+08,3.751667303408742e+00,2.412989223132015e+04,4.248704712958665e+00,2.682092160433441e+04,1.689938440102919e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279205393227482e+11,-1.984816927430754e+08,3.291873904866935e+00,2.412989229842725e+04,3.820049090038618e+00,2.682119091975163e+04,1.685126549622239e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279205399717276e+11,-1.936538540253037e+08,2.832080505144406e+00,2.412989235677301e+04,3.391661859206882e+00,2.682146175519428e+04,1.680314355557344e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279205405437820e+11,-1.888259664194979e+08,2.372287104437914e+00,2.412989240635743e+04,2.963546115984258e+00,2.682173412385073e+04,1.675501855322759e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279205410385951e+11,-1.839980296481837e+08,1.912493702870067e+00,2.412989244718053e+04,2.535705000663151e+00,2.682200803898889e+04,1.670689049156574e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279205414566375e+11,-1.791700434321228e+08,1.452700300607813e+00,2.412989247924230e+04,2.108141699268190e+00,2.682228351412280e+04,1.665875934973475e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279205417976268e+11,-1.743420074890255e+08,9.929068978180967e-01,2.412989250254274e+04,1.680859444218560e+00,2.682256056283422e+04,1.661062511292173e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279205420616887e+11,-1.695139215344788e+08,5.331134946613598e-01,2.412989251708184e+04,1.253861515202272e+00,2.682283919891105e+04,1.656248778356719e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279205422490652e+11,-1.646857852816389e+08,7.332009130373084e-02,2.412989252285962e+04,8.271512400537936e-01,2.682311943631550e+04,1.651434732985365e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279205423595016e+11,-1.598575984407801e+08,-3.864733120793816e-01,2.412989251987606e+04,4.007319954887638e-01,2.682340128911421e+04,1.646620374854697e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279205423932899e+11,-1.550293607200191e+08,-8.462667153206772e-01,2.412989250813118e+04,-2.539279191700599e-02,2.682368477160381e+04,1.641805703320054e+08
