t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279613820187088e+11,-2.079033381481263e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999987e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279613828162900e+11,-2.030755964173713e+08,3.751667303408742e+00,2.412989223132015e+04,4.183909698384699e+00,2.682092123555407e+04,1.689945345721028e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279613835247811e+11,-1.982478064134625e+08,3.291873904866935e+00,2.412989229842725e+04,3.689896619048301e+00,2.682119017010206e+04,1.685140400955642e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279613841446699e+11,-1.934199678656213e+08,2.832080505144406e+00,2.412989235677301e+04,3.195588672782168e+00,2.682146061810821e+04,1.680335191916885e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279613846751844e+11,-1.885920804996430e+08,2.372287104437914e+00,2.412989240635743e+04,2.700982465684446e+00,2.682173259253229e+04,1.675529717203333e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279613851169542e+11,-1.837641440401548e+08,1.912493702870067e+00,2.412989244718053e+04,2.206074554934960e+00,2.682200610664875e+04,1.670723976751916e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279613854695029e+11,-1.789361582084678e+08,1.452700300607813e+00,2.412989247924230e+04,1.710861447578716e+00,2.682228117375358e+04,1.665917968984059e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279613857326507e+11,-1.741081227237421e+08,9.929068978180967e-01,2.412989250254274e+04,1.215339600045088e+00,2.682255780733146e+04,1.661111692966603e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279613859070277e+11,-1.692800373033018e+08,5.331134946613598e-01,2.412989251708184e+04,7.195054170278838e-01,2.682283602111846e+04,1.656305148771272e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279613859918292e+11,-1.644519016609151e+08,7.332009130373084e-02,2.412989252285962e+04,2.233552505383806e-01,2.682311582884019e+04,1.651498334941517e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279613859872321e+11,-1.596237155085920e+08,-3.864733120793816e-01,2.412989251987606e+04,-2.731146007736608e-01,2.682339724449863e+04,1.646691250198452e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279613858935551e+11,-1.547954785558936e+08,-8.462667153206772e-01,2.412989250813118e+04,-7.699078928433090e-01,2.682368028227486e+04,1.641883894749062e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279613857101736e+11,-1.499671905091671e+08,-1.306060118243503e+00,2.412989248762495e+04,-1.267028437036289e+00,2.682396495640474e+04,1.637076265917163e+08
