t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279344359818852e+11,-2.091667882198516e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999997e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279344367831908e+11,-2.043390463123821e+08,3.751667303408742e+00,2.412989223132015e+04,4.226634068640010e+00,2.682092323009165e+04,1.689909001354583e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279344375033726e+11,-1.995112557650747e+08,3.291873904866935e+00,2.412989229842725e+04,3.775739567737169e+00,2.682119422043043e+04,1.685067504279565e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279344381425158e+11,-1.946834163004134e+08,2.832080505144406e+00,2.412989235677301e+04,3.324922132644867e+00,2.682146675961849e+04,1.680225532441927e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279344387004793e+11,-1.898555276382472e+08,2.372287104437914e+00,2.412989240635743e+04,2.874182660313453e+00,2.682174086129548e+04,1.675383083600755e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279344391772797e+11,-1.850275894960889e+08,1.912493702870067e+00,2.412989244718053e+04,2.423522060859614e+00,2.682201653928081e+04,1.670540155332476e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279344395729333e+11,-1.801996015889521e+08,1.452700300607813e+00,2.412989247924230e+04,1.972941257786857e+00,2.682229380755756e+04,1.665696744838634e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279344398874568e+11,-1.753715636293142e+08,9.929068978180967e-01,2.412989250254274e+04,1.522441188224170e+00,2.682257268027498e+04,1.660852847930258e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279344401208671e+11,-1.705434753270940e+08,5.331134946613598e-01,2.412989251708184e+04,1.072022803168954e+00,2.682285317175114e+04,1.656008464295001e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279344402733877e+11,-1.657153363897657e+08,7.332009130373084e-02,2.412989252285962e+04,6.216870677598014e-01,2.682313529649953e+04,1.651163589330256e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279344403448250e+11,-1.608871465218688e+08,-3.864733120793816e-01,2.412989251987606e+04,1.714349614687841e-01,2.682341906915826e+04,1.646318220957004e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279344403351951e+11,-1.560589054254495e+08,-8.462667153206772e-01,2.412989250813118e+04,-2.787325215901976e-01,2.682370450456666e+04,1.641472355698526e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279344402445155e+11,-1.512306127998666e+08,-1.306060118243503e+00,2.412989248762495e+04,-7.288143724100147e-01,2.682399161774310e+04,1.636625990901489e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279344400728039e+11,-1.464022683417590e+08,-1.765853520692110e+00,2.412989245835741e+04,-1.178809566819223e+00,2.682428042388810e+04,1.631779124908738e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279344398200777e+11,-1.415738717450114e+08,-2.225646922499553e+00,2.412989242032852e+04,-1.628717065206876e+00,2.682457093838658e+04,1.626931752240172e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279344394863549e+11,-1.367454227007244e+08,-2.685440323498885e+00,2.412989237353831e+04,-2.078535812240367e+00,2.682486317681092e+04,1.622083872198131e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279344390717537e+11,-1.319169208972360e+08,-3.145233723548724e+00,2.412989231798677e+04,-2.528264736570093e+00,2.682515715493559e+04,1.617235480964269e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279344385762592e+11,-1.270883660199479e+08,-3.605027122489859e+00,2.412989225367390e+04,-2.977902750547307e+00,2.682545288871275e+04,1.612386575356135e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279344379998172e+11,-1.222597577513485e+08,-4.064820520122042e+00,2.412989218059970e+04,-3.427448749929923e+00,2.682575039428594e+04,1.607537152511081e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279344373424463e+11,-1.174310957710495e+08,-4.524613916278329e+00,2.412989209876416e+04,-3.876901613560562e+00,2.682604968800682e+04,1.602687209171675e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279344366041649e+11,-1.126023797556991e+08,-4.984407310791773e+00,2.412989200816730e+04,-4.326260203058510e+00,2.682635078642920e+04,1.597836743287431e+08
3.78000000e+03,2.279399941983967e+11,5.142795837873688e+07,2.279344357849921e+11,-1.077736093789476e+08,-5.444200703495425e+00,2.412989190880910e+04,-4.775523362499835e+00,2.682665370631247e+04,1.592985749754196e+08
3.96000000e+03,2.279399931770591e+11,5.577133891317239e+07,2.279344348849466e+11,-1.029447843114091e+08,-5.903994094222343e+00,2.412989180068958e+04,-5.224689918088317e+00,2.682695846462494e+04,1.588134227333788e+08
4.14000000e+03,2.279399920729588e+11,6.011471942735787e+07,2.279344339040477e+11,-9.811590422062446e+07,-6.363787482805575e+00,2.412989168380872e+04,-5.673758677825322e+00,2.682726507854688e+04,1.583282172089897e+08
4.32000000e+03,2.279399908860956e+11,6.445809991971627e+07,2.279344328423146e+11,-9.328696877102339e+07,-6.823580869078178e+00,2.412989155816653e+04,-6.122728431162307e+00,2.682757356547391e+04,1.578429580402725e+08
4.50000000e+03,2.279399896164696e+11,6.880148038867056e+07,2.279344316997701e+11,-8.845797762388480e+07,-7.283374252873206e+00,2.412989142376301e+04,-6.571597948654920e+00,2.682788394302086e+04,1.573576449839998e+08
4.68000000e+03,2.279399882640809e+11,7.314486083264370e+07,2.279344304765458e+11,-8.362893043733788e+07,-7.743167634023710e+00,2.412989128059816e+04,-7.020365981597901e+00,2.682819622903776e+04,1.568722776167912e+08
4.86000000e+03,2.279399868289293e+11,7.748824125005865e+07,2.279344291725405e+11,-7.879982686618966e+07,-8.202961012362746e+00,2.412989112867198e+04,-7.469031261678338e+00,2.682851044157286e+04,1.563868556707935e+08
5.04000000e+03,2.279399853110149e+11,8.183162163933834e+07,2.279344277877742e+11,-7.397066656202479e+07,-8.662754387723362e+00,2.412989096798447e+04,-7.917592500588892e+00,2.682882659891828e+04,1.559013788209969e+08
5.22000000e+03,2.279399837103377e+11,8.617500199890579e+07,2.279344263222672e+11,-6.914144917311098e+07,-9.122547759938620e+00,2.412989079853563e+04,-8.366048389649199e+00,2.682914471959905e+04,1.554158467011583e+08
5.40000000e+03,2.279399820268977e+11,9.051838232718393e+07,2.279344247760396e+11,-6.431217434437081e+07,-9.582341128841566e+00,2.412989062032546e+04,-8.814397599414290e+00,2.682946482237719e+04,1.549302590148474e+08
5.58000000e+03,2.279399802606949e+11,9.486176262259571e+07,2.279344231491121e+11,-5.948284171731756e+07,-1.004213449426526e+01,2.412989043335396e+04,-9.262638779278911e+00,2.682978692625530e+04,1.544446153701843e+08
5.76000000e+03,2.279399784117293e+11,9.920514288356410e+07,2.279344214415054e+11,-5.465345093002488e+07,-1.050192785604275e+01,2.412989023762113e+04,-9.710770557066413e+00,2.683011105048060e+04,1.539589153873043e+08
