t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279120287979460e+11,-2.069344082891980e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999981e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279120296025307e+11,-2.021066666940447e+08,3.751667303408742e+00,2.412989223132015e+04,4.262227750891819e+00,2.682091970518870e+04,1.689972869555344e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279120303323688e+11,-1.972788771071464e+08,3.291873904866935e+00,2.412989229842725e+04,3.847183901170002e+00,2.682118706408635e+04,1.685195605701278e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279120309875287e+11,-1.924510392620369e+08,2.832080505144406e+00,2.412989235677301e+04,3.432523028923682e+00,2.682145590958888e+04,1.680418234879035e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279120315680787e+11,-1.876231528899952e+08,2.372287104437914e+00,2.412989240635743e+04,3.018249502980929e+00,2.682172625428215e+04,1.675640758581021e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279120320740873e+11,-1.827952177200235e+08,1.912493702870067e+00,2.412989244718053e+04,2.604367754567384e+00,2.682199811089291e+04,1.670863176088698e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279120325056233e+11,-1.779672334788197e+08,1.452700300607813e+00,2.412989247924230e+04,2.190882278380504e+00,2.682227149229021e+04,1.666085488909657e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279120328628207e+11,-1.731391998907986e+08,9.929068978180967e-01,2.412989250254274e+04,1.777797633685545e+00,2.682254641149563e+04,1.661307696328235e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279120331457153e+11,-1.683111166779453e+08,5.331134946613598e-01,2.412989251708184e+04,1.365118445415320e+00,2.682282288166565e+04,1.656529800880211e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279120333543595e+11,-1.634829835598744e+08,7.332009130373084e-02,2.412989252285962e+04,9.528494053194386e-01,2.682310091610729e+04,1.651751801543896e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279120334888228e+11,-1.586548002538044e+08,-3.864733120793816e-01,2.412989251987606e+04,5.409952731219053e-01,2.682338052828061e+04,1.646973698463599e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279120335491752e+11,-1.538265664745167e+08,-8.462667153206772e-01,2.412989250813118e+04,1.295608777043318e-01,2.682366173179818e+04,1.642195494722604e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279120335354868e+11,-1.489982819343310e+08,-1.306060118243503e+00,2.412989248762495e+04,-2.814488816871749e-01,2.682394454042802e+04,1.637417187932750e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279120334478276e+11,-1.441699463430712e+08,-1.765853520692110e+00,2.412989245835741e+04,-6.920290342102682e-01,2.682422896809502e+04,1.632638781361980e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279120332862682e+11,-1.393415594080418e+08,-2.225646922499553e+00,2.412989242032852e+04,-1.102174536170232e+00,2.682451502888387e+04,1.627860274000772e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279120330510674e+11,-1.345131208341119e+08,-2.685440323498885e+00,2.412989237353831e+04,-1.511880269729315e+00,2.682480273706291e+04,1.623081666734198e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279120327421362e+11,-1.296846303233513e+08,-3.145233723548724e+00,2.412989231798677e+04,-1.921141041628893e+00,2.682509210702361e+04,1.618302960100159e+08
