t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279279123173000e+11,-2.088266606600396e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999986e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279279131195775e+11,-2.039989188001917e+08,3.751667303408742e+00,2.412989223132015e+04,4.236991068465498e+00,2.682092269297334e+04,1.689918716560405e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279279138425175e+11,-1.991711283991852e+08,3.291873904866935e+00,2.412989229842725e+04,3.796535916091534e+00,2.682119312996461e+04,1.685086991001427e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279279144862691e+11,-1.943432891812540e+08,2.832080505144406e+00,2.412989235677301e+04,3.356248084283771e+00,2.682146510627066e+04,1.680254847874703e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279279150508572e+11,-1.895154008681002e+08,2.372287104437914e+00,2.412989240635743e+04,2.916129514791890e+00,2.682173863538313e+04,1.675422283753133e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279279155361936e+11,-1.846874631788944e+08,1.912493702870067e+00,2.412989244718053e+04,2.476182177738528e+00,2.682201373093844e+04,1.670589297052453e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279279159423049e+11,-1.798594758304341e+08,1.452700300607813e+00,2.412989247924230e+04,2.036408072133681e+00,2.682229040674683e+04,1.665755885634902e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279279162692176e+11,-1.750314385370141e+08,9.929068978180967e-01,2.412989250254274e+04,1.596809226373082e+00,2.682256867678144e+04,1.660922047369237e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279279165170769e+11,-1.702033510104972e+08,5.331134946613598e-01,2.412989251708184e+04,1.157387698768550e+00,2.682284855519454e+04,1.656087779909385e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279279166859576e+11,-1.653752129601142e+08,7.332009130373084e-02,2.412989252285962e+04,7.181455780496114e-01,2.682313005629769e+04,1.651253081039910e+08
