t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279579782671772e+11,-2.083013799881439e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000022e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279579790652062e+11,-2.034736382017024e+08,3.751667303408742e+00,2.412989223132015e+04,4.189301298615054e+00,2.682092186396821e+04,1.689933920983894e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279579797751842e+11,-1.986458480265867e+08,3.291873904866935e+00,2.412989229842725e+04,3.700733856322772e+00,2.682119144608996e+04,1.685117486018384e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279579803974963e+11,-1.938180091899373e+08,2.832080505144406e+00,2.412989235677301e+04,3.211917845303911e+00,2.682146255278057e+04,1.680300721191080e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279579809314316e+11,-1.889901214155765e+08,2.372287104437914e+00,2.412989240635743e+04,2.722850394065068e+00,2.682173519719781e+04,1.675483624341559e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279579813776863e+11,-1.841621844261258e+08,1.912493702870067e+00,2.412989244718053e+04,2.233528589547729e+00,2.682200939281824e+04,1.670666194325347e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279579817355927e+11,-1.793341979406466e+08,1.452700300607813e+00,2.412989247924230e+04,1.743949476179731e+00,2.682228515311342e+04,1.665848430483116e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279579820054397e+11,-1.745061616765343e+08,9.929068978180967e-01,2.412989250254274e+04,1.254110055166045e+00,2.682256249182503e+04,1.661030329783792e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279579821871113e+11,-1.696780753483740e+08,5.331134946613598e-01,2.412989251708184e+04,7.640072838689531e-01,2.682284142280724e+04,1.656211892198313e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279579822804067e+11,-1.648499386681843e+08,7.332009130373084e-02,2.412989252285962e+04,2.736380747507522e-01,2.682312196006665e+04,1.651393114998287e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279579822856291e+11,-1.600217513458154e+08,-3.864733120793816e-01,2.412989251987606e+04,-2.170007050523949e-01,2.682340411783373e+04,1.646573997621929e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279579822022229e+11,-1.551935130879304e+08,-8.462667153206772e-01,2.412989250813118e+04,-7.079122349554250e-01,2.682368791040524e+04,1.641754538316093e+08
