t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279208214276577e+11,-2.081697656169231e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999996e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279208222310829e+11,-2.033420238490782e+08,3.751667303408742e+00,2.412989223132015e+04,4.248254078122166e+00,2.682092165572635e+04,1.689937508229892e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279208229570841e+11,-1.985142337306927e+08,3.291873904866935e+00,2.412989229842725e+04,3.819144666071566e+00,2.682119102407042e+04,1.685124681783277e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279208236059696e+11,-1.936863949894050e+08,2.832080505144406e+00,2.412989235677301e+04,3.390299784481141e+00,2.682146191336993e+04,1.680311545378299e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279208241776486e+11,-1.888585073501406e+08,2.372287104437914e+00,2.412989240635743e+04,2.961722485195756e+00,2.682173433678336e+04,1.675498098563103e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279208246721567e+11,-1.840305705355517e+08,1.912493702870067e+00,2.412989244718053e+04,2.533415864274850e+00,2.682200830763595e+04,1.670684339531474e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279208250897203e+11,-1.792025842660300e+08,1.452700300607813e+00,2.412989247924230e+04,2.105383062863659e+00,2.682228383942958e+04,1.665870266960399e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279208254300620e+11,-1.743745482591282e+08,9.929068978180967e-01,2.412989250254274e+04,1.677627267837349e+00,2.682256094576294e+04,1.661055879856764e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279208256936722e+11,-1.695464622305216e+08,5.331134946613598e-01,2.412989251708184e+04,1.250151712772402e+00,2.682283964048396e+04,1.656241176870269e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279208258802249e+11,-1.647183258927653e+08,7.332009130373084e-02,2.412989252285962e+04,8.229596786254276e-01,2.682311993750531e+04,1.651426156473038e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279208259898806e+11,-1.598901389562615e+08,-3.864733120793816e-01,2.412989251987606e+04,3.960544946436985e-01,2.682340185096024e+04,1.646610818298963e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279208260228565e+11,-1.550619011288808e+08,-8.462667153206772e-01,2.412989250813118e+04,-3.056046074423919e-02,2.682368539515439e+04,1.641795158912008e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279208259789135e+11,-1.502336121155948e+08,-1.306060118243503e+00,2.412989248762495e+04,-4.568817591632749e-01,2.682397058450773e+04,1.636979180150584e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279208258583389e+11,-1.454052716191163e+08,-1.765853520692110e+00,2.412989245835741e+04,-8.829059212946713e-01,2.682425743367294e+04,1.632162878030164e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279208256611536e+11,-1.405768793393271e+08,-2.225646922499553e+00,2.412989242032852e+04,-1.308629415992546e+00,2.682454595744444e+04,1.627346252126246e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279208253872375e+11,-1.357484349733465e+08,-2.685440323498885e+00,2.412989237353831e+04,-1.734048659406163e+00,2.682483617077564e+04,1.622529301847086e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279208250368470e+11,-1.309199382158144e+08,-3.145233723548724e+00,2.412989231798677e+04,-2.159160013956401e+00,2.682512808884264e+04,1.617712025039391e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279208246100280e+11,-1.260913887584918e+08,-3.605027122489859e+00,2.412989225367390e+04,-2.583959787385692e+00,2.682542172697789e+04,1.612894420205780e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279208241066691e+11,-1.212627862902831e+08,-4.064820520122042e+00,2.412989218059970e+04,-3.008444231811691e+00,2.682571710067898e+04,1.608076486710525e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279208235268832e+11,-1.164341304974048e+08,-4.524613916278329e+00,2.412989209876416e+04,-3.432609542669251e+00,2.682601422565626e+04,1.603258221981424e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279208228709655e+11,-1.116054210633202e+08,-4.984407310791773e+00,2.412989200816730e+04,-3.856451857656128e+00,2.682631311783086e+04,1.598439626597413e+08
3.78000000e+03,2.279399941983967e+11,5.142795837873688e+07,2.279208221387016e+11,-1.067766576683528e+08,-5.444200703495425e+00,2.412989190880910e+04,-4.279967255750331e+00,2.682661379325612e+04,1.593620696700847e+08
3.96000000e+03,2.279399931770591e+11,5.577133891317239e+07,2.279208213301613e+11,-1.019478399900625e+08,-5.903994094222343e+00,2.412989180068958e+04,-4.703151756077766e+00,2.682691626821388e+04,1.588801433371139e+08
4.14000000e+03,2.279399920729588e+11,6.011471942735787e+07,2.279208204454724e+11,-9.711896770308694e+07,-6.363787482805575e+00,2.412989168380872e+04,-5.126001316824348e+00,2.682722055919070e+04,1.583981834490053e+08
4.32000000e+03,2.279399908860956e+11,6.445809991971627e+07,2.279208194848483e+11,-9.229004047910613e+07,-6.823580869078178e+00,2.412989155816653e+04,-5.548511834088766e+00,2.682752668288443e+04,1.579161897747619e+08
4.50000000e+03,2.279399896164696e+11,6.880148038867056e+07,2.279208184481450e+11,-8.746105798662995e+07,-7.283374252873206e+00,2.412989142376301e+04,-5.970679140779863e+00,2.682783465615494e+04,1.574341622036268e+08
4.68000000e+03,2.279399882640809e+11,7.314486083264370e+07,2.279208173354338e+11,-8.263201989120455e+07,-7.743167634023710e+00,2.412989128059816e+04,-6.392499005412487e+00,2.682814449609453e+04,1.569521007337831e+08
4.86000000e+03,2.279399868289293e+11,7.748824125005865e+07,2.279208161467863e+11,-7.780292585528080e+07,-8.202961012362746e+00,2.412989112867198e+04,-6.813967130907681e+00,2.682845622000622e+04,1.564700050550857e+08
5.04000000e+03,2.279399853110149e+11,8.183162163933834e+07,2.279208148823313e+11,-7.297377553819329e+07,-8.662754387723362e+00,2.412989096798447e+04,-7.235079153367058e+00,2.682876984541336e+04,1.559878750350598e+08
5.22000000e+03,2.279399837103377e+11,8.617500199890579e+07,2.279208135422123e+11,-6.814456859610225e+07,-9.122547759938620e+00,2.412989079853563e+04,-7.655830640811757e+00,2.682908539005796e+04,1.555057106676963e+08
5.40000000e+03,2.279399820268977e+11,9.051838232718393e+07,2.279208121263585e+11,-6.331530468188900e+07,-9.582341128841566e+00,2.412989062032546e+04,-8.076217091926706e+00,2.682940287187735e+04,1.550235117269731e+08
5.58000000e+03,2.279399802606949e+11,9.486176262259571e+07,2.279208106348425e+11,-5.848598344523608e+07,-1.004213449426526e+01,2.412989043335396e+04,-8.496233934733050e+00,2.682972230904919e+04,1.545412780383548e+08
5.76000000e+03,2.279399784117293e+11,9.920514288356410e+07,2.279208090677377e+11,-5.365660453252766e+07,-1.050192785604275e+01,2.412989023762113e+04,-8.915876525252475e+00,2.683004371997893e+04,1.540590094455255e+08
