t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279531563065998e+11,-2.087463320963906e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999993e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279531571054229e+11,-2.039185902478343e+08,3.751667303408742e+00,2.412989223132015e+04,4.196942061996810e+00,2.682092256646267e+04,1.689921144482389e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279531578176703e+11,-1.990907998814767e+08,3.291873904866935e+00,2.412989229842725e+04,3.716090000114698e+00,2.682119287255222e+04,1.685091860610090e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279531584433044e+11,-1.942629607218564e+08,2.832080505144406e+00,2.412989235677301e+04,3.235055484786203e+00,2.682146471563217e+04,1.680262172235935e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279531589822870e+11,-1.894350724911038e+08,2.372287104437914e+00,2.412989240635743e+04,2.753836399770611e+00,2.682173810915339e+04,1.675432077925919e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279531594345790e+11,-1.846071349089151e+08,1.912493702870067e+00,2.412989244718053e+04,2.272430597913051e+00,2.682201306672460e+04,1.670601575538549e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279531598001408e+11,-1.797791476925218e+08,1.452700300607813e+00,2.412989247924230e+04,1.790835900597577e+00,2.682228960211381e+04,1.665770662907200e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279531600792558e+11,-1.749511105569129e+08,9.929068978180967e-01,2.412989250254274e+04,1.309050097239456e+00,2.682256772928910e+04,1.660939336988548e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279531602715966e+11,-1.701230232140695e+08,5.331134946613598e-01,2.412989251708184e+04,8.270709446168679e-01,2.682284746231132e+04,1.656107597614115e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279531603770969e+11,-1.652948853736379e+08,7.332009130373084e-02,2.412989252285962e+04,3.448961663502790e-01,2.682312881543874e+04,1.651275441343352e+08
