t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279662040209938e+11,-2.072194195091342e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000017e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279662048178288e+11,-2.023916778739514e+08,3.751667303408742e+00,2.412989223132015e+04,4.176274347207652e+00,2.682092015581080e+04,1.689964970486003e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279662055245500e+11,-1.975638881645029e+08,3.291873904866935e+00,2.412989229842725e+04,3.674547537180606e+00,2.682118797783411e+04,1.685179762656861e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279662061408577e+11,-1.927360501127234e+08,2.832080505144406e+00,2.412989235677301e+04,3.172460931214263e+00,2.682145729423314e+04,1.680394402762353e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279662066666989e+11,-1.879081634484961e+08,2.372287104437914e+00,2.412989240635743e+04,2.670010414060778e+00,2.682172811772726e+04,1.675608890530964e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279662071020194e+11,-1.830802278994002e+08,1.912493702870067e+00,2.412989244718053e+04,2.167191811471253e+00,2.682200046117917e+04,1.670823227571214e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279662074467637e+11,-1.782522431906857e+08,1.452700300607813e+00,2.412989247924230e+04,1.664000889178219e+00,2.682227433759658e+04,1.666037413117965e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279662077008747e+11,-1.734242090452464e+08,9.929068978180967e-01,2.412989250254274e+04,1.160433351858717e+00,2.682254976013454e+04,1.661251446744496e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279662078642938e+11,-1.685961251835910e+08,5.331134946613598e-01,2.412989251708184e+04,6.564848420752695e-01,2.682282674209735e+04,1.656465329380221e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279662079371383e+11,-1.637679913239547e+08,7.332009130373084e-02,2.412989252285962e+04,1.521509392095666e-01,2.682310529696137e+04,1.651679060950144e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279662079191797e+11,-1.589398071818724e+08,-3.864733120793816e-01,2.412989251987606e+04,-3.525728416855028e-01,2.682338543831610e+04,1.646892642045558e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279662078103132e+11,-1.541115724705153e+08,-8.462667153206772e-01,2.412989250813118e+04,-8.576910509512524e-01,2.682366717992167e+04,1.642106072594696e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279662076104726e+11,-1.492832869005913e+08,-1.306060118243503e+00,2.412989248762495e+04,-1.363208305494128e+00,2.682395053570059e+04,1.637319352525055e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279662073195900e+11,-1.444549501802886e+08,-1.765853520692110e+00,2.412989245835741e+04,-1.869129289954304e+00,2.682423551973584e+04,1.632532482084168e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279662069375952e+11,-1.396265620152431e+08,-2.225646922499553e+00,2.412989242032852e+04,-2.375458757904828e+00,2.682452214627261e+04,1.627745461554992e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279662064644161e+11,-1.347981221085132e+08,-2.685440323498885e+00,2.412989237353831e+04,-2.882201533068443e+00,2.682481042972099e+04,1.622958290512855e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279662058999785e+11,-1.299696301605454e+08,-3.145233723548724e+00,2.412989231798677e+04,-3.389362510563053e+00,2.682510038465817e+04,1.618170970796252e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279662052442056e+11,-1.251410858691456e+08,-3.605027122489859e+00,2.412989225367390e+04,-3.896946658170195e+00,2.682539202583085e+04,1.613383501112986e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279662044970184e+11,-1.203124889294514e+08,-4.064820520122042e+00,2.412989218059970e+04,-4.404959017634653e+00,2.682568536815770e+04,1.608595882274322e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279662036583350e+11,-1.154838390338980e+08,-4.524613916278329e+00,2.412989209876416e+04,-4.913404705986261e+00,2.682598042673201e+04,1.603808114741461e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279662027280713e+11,-1.106551358721827e+08,-4.984407310791773e+00,2.412989200816730e+04,-5.422288916893704e+00,2.682627721682401e+04,1.599020198620307e+08
3.78000000e+03,2.279399941983967e+11,5.142795837873688e+07,2.279662017061399e+11,-1.058263791312489e+08,-5.444200703495425e+00,2.412989190880910e+04,-5.931616922041414e+00,2.682657575388351e+04,1.594232134379860e+08
3.96000000e+03,2.279399931770591e+11,5.577133891317239e+07,2.279662005925354e+11,-1.009975684952689e+08,-5.903994094222343e+00,2.412989180068958e+04,-6.441394072536479e+00,2.682687605355240e+04,1.589443921439480e+08
4.14000000e+03,2.279399920729588e+11,6.011471942735787e+07,2.279661993872941e+11,-9.616870364559944e+07,-6.363787482805575e+00,2.412989168380872e+04,-6.951625800331990e+00,2.682717813166302e+04,1.584655562222493e+08
4.32000000e+03,2.279399908860956e+11,6.445809991971627e+07,2.279661980901517e+11,-9.133978426060474e+07,-6.823580869078178e+00,2.412989155816653e+04,-7.462317619733368e+00,2.682748200420006e+04,1.579867054899257e+08
4.50000000e+03,2.279399896164696e+11,6.880148038867056e+07,2.279661967010095e+11,-8.651081001582734e+07,-7.283374252873206e+00,2.412989142376301e+04,-7.973475128877668e+00,2.682778768735859e+04,1.575078400314980e+08
4.68000000e+03,2.279399882640809e+11,7.314486083264370e+07,2.279661952197651e+11,-8.168178058387811e+07,-7.743167634023710e+00,2.412989128059816e+04,-8.485104011267104e+00,2.682809519752665e+04,1.570289599325136e+08
4.86000000e+03,2.279399868289293e+11,7.748824125005865e+07,2.279661936463122e+11,-7.685269563440111e+07,-8.202961012362746e+00,2.412989112867198e+04,-8.997210037340469e+00,2.682840455128856e+04,1.565500651690096e+08
5.04000000e+03,2.279399853110149e+11,8.183162163933834e+07,2.279661919805400e+11,-7.202355483403690e+07,-8.662754387723362e+00,2.412989096798447e+04,-9.509799066071290e+00,2.682871576542737e+04,1.560711558108323e+08
5.22000000e+03,2.279399837103377e+11,8.617500199890579e+07,2.279661902225149e+11,-6.719435784644105e+07,-9.122547759938620e+00,2.412989079853563e+04,-1.002287704659123e+01,2.682902885694915e+04,1.555922320163301e+08
5.40000000e+03,2.279399820268977e+11,9.051838232718393e+07,2.279661883723969e+11,-6.236510433220563e+07,-9.582341128841566e+00,2.412989062032546e+04,-1.053645001977846e+01,2.682934384307652e+04,1.551132936010470e+08
5.58000000e+03,2.279399802606949e+11,9.486176262259571e+07,2.279661864296613e+11,-5.753579394861717e+07,-1.004213449426526e+01,2.412989043335396e+04,-1.105052412011204e+01,2.682966074116020e+04,1.546343408357882e+08
5.76000000e+03,2.279399784117293e+11,9.920514288356410e+07,2.279661843941802e+11,-5.270642634993674e+07,-1.050192785604275e+01,2.412989023762113e+04,-1.156510557737082e+01,2.682997956880898e+04,1.541553735730792e+08
5.94000000e+03,2.279399764800009e+11,1.035485231085121e+08,2.279661822658203e+11,-4.787700118724033e+07,-1.096172121400709e+01,2.412989003312697e+04,-1.208020071840511e+01,2.683030034384599e+04,1.536763919740733e+08
