t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279548581722705e+11,-2.086051516466947e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999995e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279548589706953e+11,-2.037774098177355e+08,3.751667303408742e+00,2.412989223132015e+04,4.194244971118454e+00,2.682092234355180e+04,1.689925199588287e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279548596819799e+11,-1.989496195119136e+08,3.291873904866935e+00,2.412989229842725e+04,3.710669749388394e+00,2.682119241990424e+04,1.685099993146106e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279548603064823e+11,-1.941217804548167e+08,2.832080505144406e+00,2.412989235677301e+04,3.226888677831265e+00,2.682146402932690e+04,1.680274405701108e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279548608438528e+11,-1.892938923690188e+08,2.372287104437914e+00,2.412989240635743e+04,2.742899371917053e+00,2.682173718516620e+04,1.675448436681255e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279548612939560e+11,-1.844659549748716e+08,1.912493702870067e+00,2.412989244718053e+04,2.258699412322686e+00,2.682201190094983e+04,1.670622082997827e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279548616567425e+11,-1.796379679903513e+08,1.452700300607813e+00,2.412989247924230e+04,1.774286344345028e+00,2.682228819037391e+04,1.665795343005354e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279548619326706e+11,-1.748099311313444e+08,9.929068978180967e-01,2.412989250254274e+04,1.289657677351719e+00,2.682256606735500e+04,1.660968214914933e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279548621212372e+11,-1.699818441104708e+08,5.331134946613598e-01,2.412989251708184e+04,8.048108839884615e-01,2.682284554585954e+04,1.656140697577738e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279548622223503e+11,-1.651537066381480e+08,7.332009130373084e-02,2.412989252285962e+04,3.197433995911125e-01,2.682312664006778e+04,1.651312786752749e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279548622361770e+11,-1.603255184224125e+08,-3.864733120793816e-01,2.412989251987606e+04,-1.655473784429781e-01,2.682340936435857e+04,1.646484482098763e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279548621628326e+11,-1.554972791686488e+08,-8.462667153206772e-01,2.412989250813118e+04,-6.510640912940449e-01,2.682369373327477e+04,1.641655782918683e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279548620018899e+11,-1.506689885792413e+08,-1.306060118243503e+00,2.412989248762495e+04,-1.136809419576085e+00,2.682397976146850e+04,1.636826684725149e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279548617533469e+11,-1.458406463542160e+08,-1.765853520692110e+00,2.412989245835741e+04,-1.622786083934881e+00,2.682426746381730e+04,1.631997186769953e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279548614176956e+11,-1.410122521912099e+08,-2.225646922499553e+00,2.412989242032852e+04,-2.108996845673935e+00,2.682455685543532e+04,1.627167287266395e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279548609942927e+11,-1.361838057844101e+08,-2.685440323498885e+00,2.412989237353831e+04,-2.595444507699975e+00,2.682484795148377e+04,1.622336983173925e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279548604830963e+11,-1.313553068256457e+08,-3.145233723548724e+00,2.412989231798677e+04,-3.082131915189223e+00,2.682514076737797e+04,1.617506273362735e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279548598847189e+11,-1.265267550043153e+08,-3.605027122489859e+00,2.412989225367390e+04,-3.569061956221461e+00,2.682543531879692e+04,1.612675155423086e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279548591984277e+11,-1.216981500062170e+08,-4.064820520122042e+00,2.412989218059970e+04,-4.056237562785893e+00,2.682573162145043e+04,1.607843628183418e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279548584242775e+11,-1.168694915147597e+08,-4.524613916278329e+00,2.412989209876416e+04,-4.543661711497115e+00,2.682602969133322e+04,1.603011687974471e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279548575627297e+11,-1.120407792106421e+08,-4.984407310791773e+00,2.412989200816730e+04,-5.031337424281421e+00,2.682632954468246e+04,1.598179332855387e+08
