t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279296141385988e+11,-2.089397124198730e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000001e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279296149407021e+11,-2.041119705442695e+08,3.751667303408742e+00,2.412989223132015e+04,4.234288776294011e+00,2.682092287150384e+04,1.689915485241286e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279296156630132e+11,-1.992841800947115e+08,3.291873904866935e+00,2.412989229842725e+04,3.791110406070787e+00,2.682119349242839e+04,1.685080509500899e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279296163055560e+11,-1.944563407947594e+08,2.832080505144406e+00,2.412989235677301e+04,3.348075869318257e+00,2.682146565582386e+04,1.680245096997157e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279296168683546e+11,-1.896284523655500e+08,2.372287104437914e+00,2.412989240635743e+04,2.905186836895992e+00,2.682173937523733e+04,1.675409245323574e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279296173514333e+11,-1.848005145257673e+08,1.912493702870067e+00,2.412989244718053e+04,2.462445004109486e+00,2.682201466437489e+04,1.670572951543320e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279296177548168e+11,-1.799725269916135e+08,1.452700300607813e+00,2.412989247924230e+04,2.019852091142408e+00,2.682229153710431e+04,1.665736214384866e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279296180785297e+11,-1.751444894767827e+08,9.929068978180967e-01,2.412989250254274e+04,1.577409843497428e+00,2.682257000745713e+04,1.660899031014600e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279296183225967e+11,-1.703164016924254e+08,5.331134946613598e-01,2.412989251708184e+04,1.135120032448521e+00,2.682285008963152e+04,1.656061398407209e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279296184871141e+11,-1.654882633471737e+08,7.332009130373084e-02,2.412989252285962e+04,6.929844555025045e-01,2.682313179800232e+04,1.651223314867197e+08
