t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279287632275741e+11,-2.088853368368222e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999999e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279287640297795e+11,-2.040575949688100e+08,3.751667303408742e+00,2.412989223132015e+04,4.235639881715766e+00,2.682092278563532e+04,1.689917039852499e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279287647524225e+11,-1.992298045426183e+08,3.291873904866935e+00,2.412989229842725e+04,3.793823129957240e+00,2.682119331809345e+04,1.685083626409393e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279287653955284e+11,-1.944019652820808e+08,2.832080505144406e+00,2.412989235677301e+04,3.352161961334150e+00,2.682146539149749e+04,1.680249786361338e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279287659591221e+11,-1.895740769086107e+08,2.372287104437914e+00,2.412989240635743e+04,2.910658182330291e+00,2.682173901936804e+04,1.675415515701066e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279287664432624e+11,-1.847461391412016e+08,1.912493702870067e+00,2.412989244718053e+04,2.469313625851461e+00,2.682201421538790e+04,1.670580812603225e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279287668481106e+11,-1.799181516964428e+08,1.452700300607813e+00,2.412989247924230e+04,2.028130151683778e+00,2.682229099341327e+04,1.665745675000718e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279287671735305e+11,-1.750901142881916e+08,9.929068978180967e-01,2.412989250254274e+04,1.587109646946200e+00,2.682256936742840e+04,1.660910100327623e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279287674195481e+11,-1.702620266278920e+08,5.331134946613598e-01,2.412989251708184e+04,1.146254026619810e+00,2.682284935160275e+04,1.656074085988308e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279287675861895e+11,-1.654338884244260e+08,7.332009130373084e-02,2.412989252285962e+04,7.055652340274838e-01,2.682313096027385e+04,1.651237630689831e+08
