t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279500362273498e+11,-2.089603974738472e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694750000000002e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279500370265176e+11,-2.041326555952743e+08,3.751667303408742e+00,2.412989223132015e+04,4.201887706056311e+00,2.682092290440941e+04,1.689914993949071e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279500377400402e+11,-1.993048651367718e+08,3.291873904866935e+00,2.412989229842725e+04,3.726028300341803e+00,2.682119355880419e+04,1.685079523504365e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279500383678929e+11,-1.944770258218081e+08,2.832080505144406e+00,2.412989235677301e+04,3.250029478664513e+00,2.682146575620335e+04,1.680243614224123e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279500389100505e+11,-1.896491373714257e+08,2.372287104437914e+00,2.412989240635743e+04,2.773889620783086e+00,2.682173951016327e+04,1.675407262494531e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279500393664877e+11,-1.848211995042112e+08,1.912493702870067e+00,2.412989244718053e+04,2.297607082724455e+00,2.682201483439928e+04,1.670570466197647e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279500397371786e+11,-1.799932119362675e+08,1.452700300607813e+00,2.412989247924230e+04,1.821180196364422e+00,2.682229174278872e+04,1.665733222844273e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279500400220968e+11,-1.751651743811879e+08,9.929068978180967e-01,2.412989250254274e+04,1.344607268999188e+00,2.682257024937283e+04,1.660895530925985e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279500402212158e+11,-1.703370865500193e+08,5.331134946613598e-01,2.412989251708184e+04,8.678865829060988e-01,2.682285036835951e+04,1.656057386573802e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279500403345084e+11,-1.655089481512391e+08,7.332009130373084e-02,2.412989252285962e+04,3.910163948978539e-01,2.682313211412560e+04,1.651218788031793e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279500403619472e+11,-1.606807588907185e+08,-3.864733120793816e-01,2.412989251987606e+04,-8.600506413270209e-02,2.682341550121967e+04,1.646379733395984e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279500403035042e+11,-1.558525184716974e+08,-8.462667153206772e-01,2.412989250813118e+04,-5.631795896805760e-01,2.682370054436435e+04,1.641540219014710e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279500401591509e+11,-1.510242265947482e+08,-1.306060118243503e+00,2.412989248762495e+04,-1.040509004102610e+00,2.682398725845909e+04,1.636700242730332e+08
2.34000000e+03,2.279399993896357e+11,1.668091356492293e+07,2.279500399288585e+11,-1.461958829577441e+08,-1.765853520692110e+00,2.412989245835741e+04,-1.517995157104687e+00,2.682427565858261e+04,1.631859802712726e+08
2.52000000e+03,2.279399990304007e+11,2.102429420402925e+07,2.279500396126228e+11,-1.413674872558451e+08,-2.225646922499553e+00,2.412989242032852e+04,-1.995639926234073e+00,2.682456575999894e+04,1.627018895208396e+08
2.70000000e+03,2.279399985884028e+11,2.536767483550184e+07,2.279500392104450e+11,-1.365390391814472e+08,-2.685440323498885e+00,2.412989237353831e+04,-2.473445217387289e+00,2.682485757815789e+04,1.622177518325635e+08
2.88000000e+03,2.279399980636422e+11,2.971105545800518e+07,2.279500387222478e+11,-1.317105384241041e+08,-3.145233723548724e+00,2.412989231798677e+04,-2.951412965336532e+00,2.682515112868764e+04,1.617335669436057e+08
3.06000000e+03,2.279399974561187e+11,3.405443607003527e+07,2.279500381480005e+11,-1.268819846705631e+08,-3.605027122489859e+00,2.412989225367390e+04,-3.429545134246652e+00,2.682544642741266e+04,1.612493345749771e+08
3.24000000e+03,2.279399967658324e+11,3.839781666970053e+07,2.279500374876717e+11,-1.220533776047161e+08,-4.064820520122042e+00,2.412989218059970e+04,-3.907843718218362e+00,2.682574349035116e+04,1.607650543170544e+08
3.42000000e+03,2.279399959927833e+11,4.274119725542390e+07,2.279500367412300e+11,-1.172247169075441e+08,-4.524613916278329e+00,2.412989209876416e+04,-4.386310741842096e+00,2.682604233371741e+04,1.602807261968595e+08
3.60000000e+03,2.279399951369714e+11,4.708457782562837e+07,2.279500359086430e+11,-1.123960022570953e+08,-4.984407310791773e+00,2.412989200816730e+04,-4.864948260758691e+00,2.682634297392582e+04,1.597963497298316e+08
3.78000000e+03,2.279399941983967e+11,5.142795837873688e+07,2.279500349898779e+11,-1.075672333284449e+08,-5.444200703495425e+00,2.412989190880910e+04,-5.343758362238502e+00,2.682664542759336e+04,1.593119246558582e+08
