t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d
0.00000000e+00,2.279399965282753e+11,-3.978303472252324e+07,2.279270614077772e+11,-2.087636794209599e+08,4.211460700588355e+00,2.412989215545173e+04,4.681905097086169e+00,2.682533997265277e+04,1.694749999999996e+08
1.80000000e+02,2.279399972449568e+11,-3.543965412713314e+07,2.279270622101237e+11,-2.039359375698731e+08,3.751667303408742e+00,2.412989223132015e+04,4.238342336177229e+00,2.682092259351369e+04,1.689920517828957e+08
3.60000000e+02,2.279399978788755e+11,-3.109627351887524e+07,2.279270629336095e+11,-1.991081471961224e+08,3.291873904866935e+00,2.412989229842725e+04,3.799248762752832e+00,2.682119292806404e+04,1.685090603412995e+08
5.40000000e+02,2.279399984300314e+11,-2.675289289946380e+07,2.279270635780119e+11,-1.942803080239198e+08,2.832080505144406e+00,2.412989235677301e+04,3.360334234105708e+00,2.682146480014933e+04,1.680260280983515e+08
7.20000000e+02,2.279399988984245e+11,-2.240951227075748e+07,2.279270641433578e+11,-1.894524197752983e+08,2.372287104437914e+00,2.412989240635743e+04,2.921600826898909e+00,2.682173822323037e+04,1.675429548918783e+08
9.00000000e+02,2.279399992840547e+11,-1.806613163391449e+07,2.279270646296747e+11,-1.846244821698535e+08,1.912493702870067e+00,2.412989244718053e+04,2.483050648118755e+00,2.682201321092589e+04,1.670598405358074e+08
1.08000000e+03,2.279399995869222e+11,-1.372275099051185e+07,2.279270650372286e+11,-1.797964949249033e+08,1.452700300607813e+00,2.412989247924230e+04,2.044685835622105e+00,2.682228977704232e+04,1.665766847097833e+08
1.26000000e+03,2.279399998070269e+11,-9.379370342126612e+06,2.279270653658949e+11,-1.749684577549536e+08,9.929068978180967e-01,2.412989250254274e+04,1.606508558619290e+00,2.682256793550236e+04,1.660934873452472e+08
1.44000000e+03,2.279399999443687e+11,-5.035989690274359e+06,2.279270656156224e+11,-1.701403703720489e+08,5.331134946613598e-01,2.412989251708184e+04,1.168521018307669e+00,2.682284770040190e+04,1.656102481132117e+08
1.62000000e+03,2.279399999989477e+11,-6.926090365244055e+05,2.279270657864391e+11,-1.653122324857484e+08,7.332009130373084e-02,2.412989252285962e+04,7.307254484239387e-01,2.682312908601319e+04,1.651269667888194e+08
1.80000000e+03,2.279399999707639e+11,3.650771617466275e+06,2.279270658786743e+11,-1.604840438032372e+08,-3.864733120793816e-01,2.412989251987606e+04,2.931241158271810e-01,2.682341210681319e+04,1.646436432433493e+08
1.98000000e+03,2.279399998598174e+11,7.994152270117300e+06,2.279270658921123e+11,-1.556558040286901e+08,-8.462667153206772e-01,2.412989250813118e+04,-1.442806789773776e-01,2.682369677738703e+04,1.641602772089986e+08
2.16000000e+03,2.279399996661079e+11,1.233753291975993e+07,2.279270658267321e+11,-1.508275128637826e+08,-1.306060118243503e+00,2.412989248762495e+04,-5.814866011353613e-01,2.682398311251732e+04,1.636768683828184e+08
