t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,-1.659294979079e+07,2.695447858255e+03,0.000000000000e+00,1.702853534740e+08
1.80000000e+02,-1.689897955267e+08,-1.659294745259e+07,2.695713207681e+03,2.601711242922e-02,1.698024670269e+08
3.60000000e+02,-1.685045431551e+08,-1.659294041129e+07,2.695980063367e+03,5.225714047859e-02,1.693195430067e+08
5.40000000e+02,-1.680192426130e+08,-1.659292862652e+07,2.696248438263e+03,7.872264697104e-02,1.688365839346e+08
7.20000000e+02,-1.675338936257e+08,-1.659291205747e+07,2.696518345472e+03,1.054162317939e-01,1.683535896482e+08
9.00000000e+02,-1.670484959162e+08,-1.659289066286e+07,2.696789798245e+03,1.323405325458e-01,1.678705599842e+08
1.08000000e+03,-1.665630492050e+08,-1.659286440091e+07,2.697062809990e+03,1.594982251968e-01,1.673874947778e+08
1.26000000e+03,-1.660775532105e+08,-1.659283322936e+07,2.697337394269e+03,1.868920247625e-01,1.669043938634e+08
1.44000000e+03,-1.655920076482e+08,-1.659279710547e+07,2.697613564803e+03,2.145246859910e-01,1.664212570742e+08
1.62000000e+03,-1.651064122314e+08,-1.659275598600e+07,2.697891335474e+03,2.423990040653e-01,1.659380842424e+08
1.80000000e+03,-1.646207666709e+08,-1.659270982719e+07,2.698170720328e+03,2.705178153193e-01,1.654548751989e+08
1.98000000e+03,-1.641350706747e+08,-1.659265858477e+07,2.698451733573e+03,2.988839979691e-01,1.649716297735e+08
2.16000000e+03,-1.636493239485e+08,-1.659260221396e+07,2.698734389589e+03,3.275004728595e-01,1.644883477950e+08
2.34000000e+03,-1.631635261953e+08,-1.659254066944e+07,2.699018702924e+03,3.563702042262e-01,1.640050290909e+08
2.52000000e+03,-1.626776771154e+08,-1.659247390534e+07,2.699304688301e+03,3.854962004736e-01,1.635216734877e+08
2.70000000e+03,-1.621917764066e+08,-1.659240187528e+07,2.699592360616e+03,4.148815149692e-01,1.630382808105e+08
2.88000000e+03,-1.617058237638e+08,-1.659232453228e+07,2.699881734945e+03,4.445292468550e-01,1.625548508833e+08
3.06000000e+03,-1.612198188792e+08,-1.659224182884e+07,2.700172826544e+03,4.744425418758e-01,1.620713835291e+08
3.24000000e+03,-1.607337614425e+08,-1.659215371687e+07,2.700465650853e+03,5.046245932249e-01,1.615878785694e+08
3.42000000e+03,-1.602476511403e+08,-1.659206014770e+07,2.700760223498e+03,5.350786424080e-01,1.611043358248e+08
3.60000000e+03,-1.597614876565e+08,-1.659196107207e+07,2.701056560296e+03,5.658079801259e-01,1.606207551144e+08
3.78000000e+03,-1.592752706721e+08,-1.659185644014e+07,2.701354677252e+03,5.968159471753e-01,1.601371362562e+08
3.96000000e+03,-1.587889998652e+08,-1.659174620144e+07,2.701654590571e+03,6.281059353700e-01,1.596534790671e+08
4.14000000e+03,-1.583026749110e+08,-1.659163030491e+07,2.701956316652e+03,6.596813884808e-01,1.591697833624e+08
