t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,1.120378661088e+07,2.695447858255e+03,0.000000000000e+00,1.698449306262e+08
1.80000000e+02,-1.689897953403e+08,1.120378501976e+07,2.695715283191e+03,-1.770451669812e-02,1.693607883750e+08
3.60000000e+02,-1.685045424065e+08,1.120378022812e+07,2.695984238152e+03,-3.556152205174e-02,1.688766011370e+08
5.40000000e+02,-1.680192409222e+08,1.120377220837e+07,2.696254736433e+03,-5.357278072863e-02,1.683923713765e+08
7.20000000e+02,-1.675338906083e+08,1.120376093258e+07,2.696526791484e+03,-7.174008311920e-02,1.679080988663e+08
9.00000000e+02,-1.670484911833e+08,1.120374637249e+07,2.696800416912e+03,-9.006524578954e-02,1.674237833774e+08
1.08000000e+03,-1.665630423634e+08,1.120372849952e+07,2.697075626486e+03,-1.085501119439e-01,1.669394246789e+08
1.26000000e+03,-1.660775438622e+08,1.120370728477e+07,2.697352434135e+03,-1.271965518969e-01,1.664550225381e+08
1.44000000e+03,-1.655919953907e+08,1.120368269898e+07,2.697630853955e+03,-1.460064635551e-01,1.659705767204e+08
1.62000000e+03,-1.651063966574e+08,1.120365471254e+07,2.697910900208e+03,-1.649817729092e-01,1.654860869892e+08
1.80000000e+03,-1.646207473684e+08,1.120362329552e+07,2.698192587327e+03,-1.841244345362e-01,1.650015531062e+08
1.98000000e+03,-1.641350472269e+08,1.120358841760e+07,2.698475929916e+03,-2.034364321123e-01,1.645169748307e+08
2.16000000e+03,-1.636492959337e+08,1.120355004814e+07,2.698760942755e+03,-2.229197789363e-01,1.640323519206e+08
2.34000000e+03,-1.631634931867e+08,1.120350815610e+07,2.699047640801e+03,-2.425765184643e-01,1.635476841312e+08
2.52000000e+03,-1.626776386813e+08,1.120346271008e+07,2.699336039193e+03,-2.624087248559e-01,1.630629712162e+08
2.70000000e+03,-1.621917321100e+08,1.120341367832e+07,2.699626153249e+03,-2.824185035316e-01,1.625782129272e+08
2.88000000e+03,-1.617057731625e+08,1.120336102866e+07,2.699917998478e+03,-3.026079917421e-01,1.620934090135e+08
3.06000000e+03,-1.612197615260e+08,1.120330472855e+07,2.700211590574e+03,-3.229793591506e-01,1.616085592226e+08
3.24000000e+03,-1.607336968845e+08,1.120324474507e+07,2.700506945424e+03,-3.435348084261e-01,1.611236632996e+08
3.42000000e+03,-1.602475789192e+08,1.120318104486e+07,2.700804079109e+03,-3.642765758512e-01,1.606387209878e+08
3.60000000e+03,-1.597614073086e+08,1.120311359420e+07,2.701103007907e+03,-3.852069319415e-01,1.601537320280e+08
3.78000000e+03,-1.592751817280e+08,1.120304235894e+07,2.701403748299e+03,-4.063281820795e-01,1.596686961590e+08
3.96000000e+03,-1.587889018498e+08,1.120296730449e+07,2.701706316966e+03,-4.276426671615e-01,1.591836131174e+08
4.14000000e+03,-1.583025673435e+08,1.120288839586e+07,2.702010730800e+03,-4.491527642594e-01,1.586984826374e+08
4.32000000e+03,-1.578161778753e+08,1.120280559763e+07,2.702317006898e+03,-4.708608872961e-01,1.582133044512e+08
4.50000000e+03,-1.573297331085e+08,1.120271887393e+07,2.702625162576e+03,-4.927694877366e-01,1.577280782885e+08
4.68000000e+03,-1.568432327032e+08,1.120262818846e+07,2.702935215362e+03,-5.148810552933e-01,1.572428038767e+08
4.86000000e+03,-1.563566763164e+08,1.120253350445e+07,2.703247183008e+03,-5.371981186481e-01,1.567574809410e+08
5.04000000e+03,-1.558700636017e+08,1.120243478468e+07,2.703561083486e+03,-5.597232461894e-01,1.562721092042e+08
5.22000000e+03,-1.553833942096e+08,1.120233199146e+07,2.703876934997e+03,-5.824590467662e-01,1.557866883865e+08
5.40000000e+03,-1.548966677873e+08,1.120222508664e+07,2.704194755973e+03,-6.054081704582e-01,1.553012182059e+08
5.58000000e+03,-1.544098839785e+08,1.120211403158e+07,2.704514565081e+03,-6.285733093648e-01,1.548156983779e+08
5.76000000e+03,-1.539230424237e+08,1.120199878715e+07,2.704836381224e+03,-6.519571984093e-01,1.543301286155e+08
5.94000000e+03,-1.534361427600e+08,1.120187931372e+07,2.705160223549e+03,-6.755626161637e-01,1.538445086293e+08
6.12000000e+03,-1.529491846208e+08,1.120175557117e+07,2.705486111449e+03,-6.993923856906e-01,1.533588381270e+08
6.30000000e+03,-1.524621676363e+08,1.120162751885e+07,2.705814064566e+03,-7.234493754044e-01,1.528731168143e+08
6.48000000e+03,-1.519750914328e+08,1.120149511561e+07,2.706144102796e+03,-7.477364999530e-01,1.523873443938e+08
6.66000000e+03,-1.514879556333e+08,1.120135831975e+07,2.706476246293e+03,-7.722567211180e-01,1.519015205657e+08
6.84000000e+03,-1.510007598569e+08,1.120121708905e+07,2.706810515476e+03,-7.970130487375e-01,1.514156450276e+08
7.02000000e+03,-1.505135037193e+08,1.120107138073e+07,2.707146931026e+03,-8.220085416480e-01,1.509297174743e+08
7.20000000e+03,-1.500261868321e+08,1.120092115146e+07,2.707485513900e+03,-8.472463086501e-01,1.504437375979e+08
7.38000000e+03,-1.495388088033e+08,1.120076635736e+07,2.707826285326e+03,-8.727295094944e-01,1.499577050877e+08
7.56000000e+03,-1.490513692371e+08,1.120060695395e+07,2.708169266816e+03,-8.984613558926e-01,1.494716196304e+08
7.74000000e+03,-1.485638677337e+08,1.120044289618e+07,2.708514480164e+03,-9.244451125497e-01,1.489854809096e+08
7.92000000e+03,-1.480763038893e+08,1.120027413842e+07,2.708861947456e+03,-9.506840982227e-01,1.484992886063e+08
8.10000000e+03,-1.475886772964e+08,1.120010063442e+07,2.709211691069e+03,-9.771816868021e-01,1.480130423984e+08
8.28000000e+03,-1.471009875430e+08,1.119992233732e+07,2.709563733682e+03,-1.003941308420e+00,1.475267419611e+08
8.46000000e+03,-1.466132342133e+08,1.119973919964e+07,2.709918098279e+03,-1.030966450585e+00,1.470403869665e+08
8.64000000e+03,-1.461254168872e+08,1.119955117328e+07,2.710274808150e+03,-1.058260659341e+00,1.465539770837e+08
8.82000000e+03,-1.456375351406e+08,1.119935820947e+07,2.710633886902e+03,-1.085827540458e+00,1.460675119788e+08
9.00000000e+03,-1.451495885447e+08,1.119916025881e+07,2.710995358464e+03,-1.113670760647e+00,1.455809913149e+08
9.18000000e+03,-1.446615766669e+08,1.119895727122e+07,2.711359247086e+03,-1.141794048807e+00,1.450944147519e+08
9.36000000e+03,-1.441734990697e+08,1.119874919595e+07,2.711725577354e+03,-1.170201197301e+00,1.446077819465e+08
9.54000000e+03,-1.436853553114e+08,1.119853598156e+07,2.712094374187e+03,-1.198896063261e+00,1.441210925524e+08
9.72000000e+03,-1.431971449458e+08,1.119831757590e+07,2.712465662849e+03,-1.227882569930e+00,1.436343462199e+08
9.90000000e+03,-1.427088675221e+08,1.119809392612e+07,2.712839468951e+03,-1.257164708029e+00,1.431475425962e+08
1.00800000e+04,-1.422205225848e+08,1.119786497865e+07,2.713215818461e+03,-1.286746537161e+00,1.426606813251e+08
