t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,3.389500000000e+07,2.695447858255e+03,0.000000000000e+00,1.728312664132e+08
1.80000000e+02,-1.689897965675e+08,3.389499543203e+07,2.695701621593e+03,-5.082552018680e-02,1.723555133158e+08
3.60000000e+02,-1.685045473339e+08,3.389498167751e+07,2.695956761402e+03,-1.020736561745e-01,1.718797636829e+08
5.40000000e+02,-1.680192520504e+08,3.389495865993e+07,2.696213288809e+03,-1.537490868165e-01,1.714040203384e+08
7.20000000e+02,-1.675339104663e+08,3.389492630197e+07,2.696471215061e+03,-2.058565556192e-01,1.709282834660e+08
9.00000000e+02,-1.670485223286e+08,3.389488452541e+07,2.696730551524e+03,-2.584008718121e-01,1.704525532521e+08
1.08000000e+03,-1.665630873827e+08,3.389483325120e+07,2.696991309686e+03,-3.113869114379e-01,1.699768298858e+08
1.26000000e+03,-1.660776053714e+08,3.389477239938e+07,2.697253501158e+03,-3.648196184635e-01,1.695011135593e+08
1.44000000e+03,-1.655920760358e+08,3.389470188909e+07,2.697517137677e+03,-4.187040059133e-01,1.690254044675e+08
1.62000000e+03,-1.651064991147e+08,3.389462163858e+07,2.697782231106e+03,-4.730451570233e-01,1.685497028084e+08
1.80000000e+03,-1.646208743447e+08,3.389453156517e+07,2.698048793437e+03,-5.278482264189e-01,1.680740087830e+08
1.98000000e+03,-1.641352014605e+08,3.389443158525e+07,2.698316836792e+03,-5.831184413147e-01,1.675983225953e+08
2.16000000e+03,-1.636494801942e+08,3.389432161424e+07,2.698586373424e+03,-6.388611027379e-01,1.671226444525e+08
2.34000000e+03,-1.631637102760e+08,3.389420156664e+07,2.698857415721e+03,-6.950815867764e-01,1.666469745648e+08
2.52000000e+03,-1.626778914337e+08,3.389407135593e+07,2.699129976206e+03,-7.517853458505e-01,1.661713131459e+08
2.70000000e+03,-1.621920233929e+08,3.389393089464e+07,2.699404067538e+03,-8.089779100101e-01,1.656956604124e+08
2.88000000e+03,-1.617061058770e+08,3.389378009428e+07,2.699679702516e+03,-8.666648882579e-01,1.652200165844e+08
3.06000000e+03,-1.612201386069e+08,3.389361886533e+07,2.699956894081e+03,-9.248519698976e-01,1.647443818856e+08
3.24000000e+03,-1.607341213013e+08,3.389344711727e+07,2.700235655316e+03,-9.835449259104e-01,1.642687565427e+08
3.42000000e+03,-1.602480536763e+08,3.389326475852e+07,2.700515999448e+03,-1.042749610358e+00,1.637931407862e+08
3.60000000e+03,-1.597619354460e+08,3.389307169641e+07,2.700797939852e+03,-1.102471961813e+00,1.633175348501e+08
3.78000000e+03,-1.592757663217e+08,3.389286783725e+07,2.701081490051e+03,-1.162718004821e+00,1.628419389718e+08
3.96000000e+03,-1.587895460124e+08,3.389265308621e+07,2.701366663719e+03,-1.223493851387e+00,1.623663533927e+08
4.14000000e+03,-1.583032742248e+08,3.389242734736e+07,2.701653474684e+03,-1.284805702496e+00,1.618907783576e+08
4.32000000e+03,-1.578169506627e+08,3.389219052368e+07,2.701941936927e+03,-1.346659849662e+00,1.614152141153e+08
4.50000000e+03,-1.573305750278e+08,3.389194251696e+07,2.702232064588e+03,-1.409062676511e+00,1.609396609185e+08
4.68000000e+03,-1.568441470190e+08,3.389168322787e+07,2.702523871965e+03,-1.472020660393e+00,1.604641190235e+08
4.86000000e+03,-1.563576663326e+08,3.389141255588e+07,2.702817373519e+03,-1.535540374026e+00,1.599885886909e+08
5.04000000e+03,-1.558711326623e+08,3.389113039929e+07,2.703112583873e+03,-1.599628487181e+00,1.595130701853e+08
5.22000000e+03,-1.553845456993e+08,3.389083665518e+07,2.703409517817e+03,-1.664291768391e+00,1.590375637754e+08
5.40000000e+03,-1.548979051319e+08,3.389053121940e+07,2.703708190309e+03,-1.729537086702e+00,1.585620697339e+08
5.58000000e+03,-1.544112106458e+08,3.389021398655e+07,2.704008616477e+03,-1.795371413458e+00,1.580865883380e+08
5.76000000e+03,-1.539244619241e+08,3.388988484999e+07,2.704310811625e+03,-1.861801824125e+00,1.576111198692e+08
5.94000000e+03,-1.534376586469e+08,3.388954370177e+07,2.704614791229e+03,-1.928835500147e+00,1.571356646133e+08
6.12000000e+03,-1.529508004916e+08,3.388919043265e+07,2.704920570945e+03,-1.996479730848e+00,1.566602228607e+08
6.30000000e+03,-1.524638871327e+08,3.388882493206e+07,2.705228166609e+03,-2.064741915368e+00,1.561847949063e+08
6.48000000e+03,-1.519769182420e+08,3.388844708810e+07,2.705537594239e+03,-2.133629564641e+00,1.557093810497e+08
6.66000000e+03,-1.514898934882e+08,3.388805678750e+07,2.705848870040e+03,-2.203150303415e+00,1.552339815951e+08
6.84000000e+03,-1.510028125372e+08,3.388765391561e+07,2.706162010405e+03,-2.273311872315e+00,1.547585968516e+08
7.02000000e+03,-1.505156750519e+08,3.388723835637e+07,2.706477031918e+03,-2.344122129945e+00,1.542832271332e+08
