t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,4.396422594142e+06,2.695447858255e+03,0.000000000000e+00,1.695320151376e+08
1.80000000e+02,-1.689897952066e+08,4.396421966307e+06,2.695716770998e+03,-6.985993272647e-03,1.690469766697e+08
3.60000000e+02,-1.685045418699e+08,4.396420075568e+06,2.695987230897e+03,-1.403238134494e-02,1.685618878894e+08
5.40000000e+02,-1.680192397101e+08,4.396416910991e+06,2.696259251498e+03,-2.113986639992e-02,1.680767512194e+08
7.20000000e+02,-1.675338884451e+08,4.396412461515e+06,2.696532846503e+03,-2.830916091329e-02,1.675915663857e+08
9.00000000e+02,-1.670484877903e+08,4.396406715948e+06,2.696808029777e+03,-3.554098783582e-02,1.671063331117e+08
1.08000000e+03,-1.665630374586e+08,4.396399662970e+06,2.697084815350e+03,-4.283608077970e-02,1.666210511187e+08
1.26000000e+03,-1.660775371601e+08,4.396391291126e+06,2.697363217420e+03,-5.019518420868e-02,1.661357201251e+08
1.44000000e+03,-1.655919866027e+08,4.396381588825e+06,2.697643250354e+03,-5.761905363225e-02,1.656503398473e+08
1.62000000e+03,-1.651063854915e+08,4.396370544342e+06,2.697924928691e+03,-6.510845580386e-02,1.651649099989e+08
1.80000000e+03,-1.646207335291e+08,4.396358145810e+06,2.698208267144e+03,-7.266416892337e-02,1.646794302910e+08
1.98000000e+03,-1.641350304152e+08,4.396344381223e+06,2.698493280604e+03,-8.028698284377e-02,1.641939004322e+08
2.16000000e+03,-1.636492758469e+08,4.396329238430e+06,2.698779984144e+03,-8.797769928223e-02,1.637083201285e+08
2.34000000e+03,-1.631634695188e+08,4.396312705136e+06,2.699068393016e+03,-9.573713203576e-02,1.632226890834e+08
2.52000000e+03,-1.626776111225e+08,4.396294768898e+06,2.699358522662e+03,-1.035661072013e-01,1.627370069974e+08
2.70000000e+03,-1.621917003468e+08,4.396275417122e+06,2.699650388709e+03,-1.114654634009e-01,1.622512735686e+08
2.88000000e+03,-1.617057368777e+08,4.396254637065e+06,2.699944006977e+03,-1.194360520110e-01,1.617654884924e+08
3.06000000e+03,-1.612197203985e+08,4.396232415826e+06,2.700239393480e+03,-1.274787373976e-01,1.612796514613e+08
3.24000000e+03,-1.607336505893e+08,4.396208740349e+06,2.700536564431e+03,-1.355943971558e-01,1.607937621650e+08
3.42000000e+03,-1.602475271275e+08,4.396183597419e+06,2.700835536241e+03,-1.437839223549e-01,1.603078202906e+08
3.60000000e+03,-1.597613496875e+08,4.396156973659e+06,2.701136325526e+03,-1.520482177885e-01,1.598218255220e+08
3.78000000e+03,-1.592751179406e+08,4.396128855528e+06,2.701438949109e+03,-1.603882022305e-01,1.593357775405e+08
3.96000000e+03,-1.587888315550e+08,4.396099229318e+06,2.701743424021e+03,-1.688048086966e-01,1.588496760244e+08
4.14000000e+03,-1.583024901961e+08,4.396068081151e+06,2.702049767510e+03,-1.772989847111e-01,1.583635206490e+08
4.32000000e+03,-1.578160935259e+08,4.396035396980e+06,2.702357997037e+03,-1.858716925799e-01,1.578773110866e+08
4.50000000e+03,-1.573296412033e+08,4.396001162580e+06,2.702668130286e+03,-1.945239096702e-01,1.573910470065e+08
4.68000000e+03,-1.568431328840e+08,4.395965363551e+06,2.702980185162e+03,-2.032566286949e-01,1.569047280748e+08
4.86000000e+03,-1.563565682205e+08,4.395927985312e+06,2.703294179800e+03,-2.120708580047e-01,1.564183539548e+08
5.04000000e+03,-1.558699468621e+08,4.395889013099e+06,2.703610132564e+03,-2.209676218864e-01,1.559319243062e+08
5.22000000e+03,-1.553832684545e+08,4.395848431962e+06,2.703928062054e+03,-2.299479608672e-01,1.554454387859e+08
5.40000000e+03,-1.548965326403e+08,4.395806226764e+06,2.704247987107e+03,-2.390129320266e-01,1.549588970474e+08
5.58000000e+03,-1.544097390586e+08,4.395762382173e+06,2.704569926802e+03,-2.481636093153e-01,1.544722987409e+08
5.76000000e+03,-1.539228873450e+08,4.395716882666e+06,2.704893900465e+03,-2.574010838807e-01,1.539856435134e+08
5.94000000e+03,-1.534359771316e+08,4.395669712518e+06,2.705219927674e+03,-2.667264644007e-01,1.534989310083e+08
6.12000000e+03,-1.529490080469e+08,4.395620855806e+06,2.705548028257e+03,-2.761408774243e-01,1.530121608660e+08
6.30000000e+03,-1.524619797161e+08,4.395570296401e+06,2.705878222305e+03,-2.856454677202e-01,1.525253327231e+08
6.48000000e+03,-1.519748917604e+08,4.395518017967e+06,2.706210530167e+03,-2.952413986338e-01,1.520384462128e+08
6.66000000e+03,-1.514877437975e+08,4.395464003956e+06,2.706544972464e+03,-3.049298524521e-01,1.515515009648e+08
6.84000000e+03,-1.510005354414e+08,4.395408237606e+06,2.706881570084e+03,-3.147120307768e-01,1.510644966054e+08
7.02000000e+03,-1.505132663020e+08,4.395350701938e+06,2.707220344193e+03,-3.245891549066e-01,1.505774327569e+08
7.20000000e+03,-1.500259359859e+08,4.395291379749e+06,2.707561316239e+03,-3.345624662279e-01,1.500903090382e+08
7.38000000e+03,-1.495385440954e+08,4.395230253613e+06,2.707904507953e+03,-3.446332266150e-01,1.496031250643e+08
7.56000000e+03,-1.490510902289e+08,4.395167305874e+06,2.708249941355e+03,-3.548027188392e-01,1.491158804467e+08
7.74000000e+03,-1.485635739810e+08,4.395102518643e+06,2.708597638764e+03,-3.650722469883e-01,1.486285747928e+08
7.92000000e+03,-1.480759949421e+08,4.395035873794e+06,2.708947622796e+03,-3.754431368950e-01,1.481412077063e+08
8.10000000e+03,-1.475883526986e+08,4.394967352961e+06,2.709299916372e+03,-3.859167365761e-01,1.476537787868e+08
8.28000000e+03,-1.471006468326e+08,4.394896937534e+06,2.709654542724e+03,-3.964944166823e-01,1.471662876302e+08
8.46000000e+03,-1.466128769221e+08,4.394824608654e+06,2.710011525399e+03,-4.071775709577e-01,1.466787338280e+08
8.64000000e+03,-1.461250425410e+08,4.394750347206e+06,2.710370888266e+03,-4.179676167118e-01,1.461911169679e+08
8.82000000e+03,-1.456371432585e+08,4.394674133822e+06,2.710732655519e+03,-4.288659953015e-01,1.457034366335e+08
9.00000000e+03,-1.451491786396e+08,4.394595948871e+06,2.711096851685e+03,-4.398741726252e-01,1.452156924039e+08
9.18000000e+03,-1.446611482450e+08,4.394515772454e+06,2.711463501629e+03,-4.509936396292e-01,1.447278838542e+08
9.36000000e+03,-1.441730516307e+08,4.394433584404e+06,2.711832630558e+03,-4.622259128257e-01,1.442400105552e+08
9.54000000e+03,-1.436848883481e+08,4.394349364276e+06,2.712204264031e+03,-4.735725348242e-01,1.437520720732e+08
9.72000000e+03,-1.431966579442e+08,4.394263091347e+06,2.712578427962e+03,-4.850350748749e-01,1.432640679702e+08
9.90000000e+03,-1.427083599610e+08,4.394174744610e+06,2.712955148627e+03,-4.966151294265e-01,1.427759978035e+08
1.00800000e+04,-1.422199939360e+08,4.394084302764e+06,2.713334452670e+03,-5.083143226968e-01,1.422878611260e+08
1.02600000e+04,-1.417315594018e+08,4.393991744218e+06,2.713716367111e+03,-5.201343072581e-01,1.417996574860e+08
1.04400000e+04,-1.412430558860e+08,4.393897047077e+06,2.714100919350e+03,-5.320767646368e-01,1.413113864272e+08
1.06200000e+04,-1.407544829113e+08,4.393800189143e+06,2.714488137179e+03,-5.441434059276e-01,1.408230474883e+08
1.08000000e+04,-1.402658399954e+08,4.393701147908e+06,2.714878048781e+03,-5.563359724239e-01,1.403346402033e+08
1.09800000e+04,-1.397771266508e+08,4.393599900544e+06,2.715270682744e+03,-5.686562362629e-01,1.398461641015e+08
1.11600000e+04,-1.392883423849e+08,4.393496423905e+06,2.715666068067e+03,-5.811060010882e-01,1.393576187070e+08
1.13400000e+04,-1.387994866998e+08,4.393390694516e+06,2.716064234164e+03,-5.936871027278e-01,1.388690035390e+08
1.15200000e+04,-1.383105590923e+08,4.393282688568e+06,2.716465210875e+03,-6.064014098905e-01,1.383803181116e+08
1.17000000e+04,-1.378215590538e+08,4.393172381915e+06,2.716869028473e+03,-6.192508248788e-01,1.378915619337e+08
1.18800000e+04,-1.373324860702e+08,4.393059750062e+06,2.717275717669e+03,-6.322372843214e-01,1.374027345090e+08
1.20600000e+04,-1.368433396217e+08,4.392944768165e+06,2.717685309626e+03,-6.453627599234e-01,1.369138353358e+08
1.22400000e+04,-1.363541191831e+08,4.392827411020e+06,2.718097835963e+03,-6.586292592360e-01,1.364248639072e+08
