t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279510169491526e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.412930941302348e+04,2.629009440017286e+07,2.388271649328850e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279511073289112e+11,4.344185580290603e+06,2.067083027254824e+00,2.412989243443286e+04,5.042237562697948e+02,2.413941470832313e+04,2.632865571974963e+07,2.365573168848964e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279511984704886e+11,8.690186098907985e+06,1.607289625195638e+00,2.412989246944031e+04,5.084644737014038e+02,2.414947512312893e+04,2.636946962611238e+07,2.342309300821596e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279512903768404e+11,1.303799333882592e+07,1.147496222553277e+00,2.412989249568644e+04,5.127210851519701e+02,2.415948912423991e+04,2.641252875400985e+07,2.318569288442908e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279513830507325e+11,1.738759881059655e+07,6.877028194944429e-01,2.412989251317123e+04,5.169925195170011e+02,2.416945521813577e+04,2.645782477724816e+07,2.294438307086180e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279514764947356e+11,2.173899375958920e+07,2.279094161858659e-01,2.412989252189470e+04,5.212777029851488e+02,2.417937195202852e+04,2.650535036235107e+07,2.269997069108766e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279515707112278e+11,2.609216917339826e+07,-2.318839872055538e-01,2.412989252185683e+04,5.255755602169050e+02,2.418923791469534e+04,2.655509669795064e+07,2.245321537998455e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279516657023943e+11,3.044711578940345e+07,-6.916773905126863e-01,2.412989251305763e+04,5.298850155622472e+02,2.419905173733609e+04,2.660705503301252e+07,2.220482741690507e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279517614702258e+11,3.480382410247137e+07,-1.151470793568634e+00,2.412989249549710e+04,5.342049942343276e+02,2.420881209428874e+04,2.666121642751940e+07,2.195546674840433e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279518580165199e+11,3.916228437277998e+07,-1.611264196206670e+00,2.412989246917524e+04,5.385344234708680e+02,2.421851770367594e+04,2.671757148729878e+07,2.170574278689381e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279519553428814e+11,4.352248663375325e+07,-2.071057598260084e+00,2.412989243409205e+04,5.428722336822428e+02,2.422816732798415e+04,2.677610994544908e+07,2.145621487344142e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279520534507227e+11,4.788442070009019e+07,-2.530850999561517e+00,2.412989239024753e+04,5.472173595662672e+02,2.423775977454034e+04,2.683682253564205e+07,2.120739329705571e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279521523412654e+11,5.224807617587348e+07,-2.990644399944022e+00,2.412989233764168e+04,5.515687411987095e+02,2.424729389591124e+04,2.689969810437187e+07,2.095974076657120e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279522520155408e+11,5.661344246274469e+07,-3.450437799240653e+00,2.412989227627449e+04,5.559253251029320e+02,2.425676859023538e+04,2.696472653819012e+07,2.071367424044484e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279523524743907e+11,6.098050876812772e+07,-3.910231197284463e+00,2.412989220614597e+04,5.602860652781939e+02,2.426618280145554e+04,2.703189720807285e+07,2.046956702863296e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279524537184702e+11,6.534926411349081e+07,-4.370024593908506e+00,2.412989212725613e+04,5.646499241998496e+02,2.427553551948037e+04,2.710119803593013e+07,2.022775108944365e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279525557482460e+11,6.971969734262969e+07,-4.829817988945837e+00,2.412989203960495e+04,5.690158737975104e+02,2.428482578029338e+04,2.717261781835413e+07,1.998851945528791e+07
3.06000000e+03,2.279399945231946e+11,4.996764976543456e+07,2.279526585640061e+11,7.409179712996377e+07,-5.289611382229506e+00,2.412989194319245e+04,5.733828963783266e+02,2.429405266594845e+04,2.724614497329755e+07,1.975212872813041e+07
3.24000000e+03,2.279399935296831e+11,5.431103030587935e+07,2.279527621658511e+11,7.846555198882304e+07,-5.749404773592568e+00,2.412989183801861e+04,5.777499855236830e+02,2.430321530451425e+04,2.732176755397901e+07,1.951880160263292e+07
3.42000000e+03,2.279399924534089e+11,5.865441082660432e+07,2.279528665537035e+11,8.284095027972177e+07,-6.209198162868077e+00,2.412989172408344e+04,5.821161469537140e+02,2.431231286996026e+04,2.739947377963784e+07,1.928872936798363e+07
3.60000000e+03,2.279399912943718e+11,6.299779132603244e+07,2.279529717273088e+11,8.721798021860419e+07,-6.668991549889086e+00,2.412989160138694e+04,5.864803993364543e+02,2.432134458194330e+04,2.747925009599848e+07,1.906207436464244e+07
3.78000000e+03,2.279399900525719e+11,6.734117180258667e+07,2.279530776862341e+11,9.159662988504338e+07,-7.128784934488648e+00,2.412989146992911e+04,5.908417750728595e+02,2.433030970555876e+04,2.756108499628458e+07,1.883897236766591e+07
