t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279408474576271e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.412984766685879e+04,2.388490423788262e+07,2.386989711506739e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279409374609620e+11,4.344587509326220e+06,2.067083027254824e+00,2.412989243443286e+04,5.000455909441149e+02,2.414334945088384e+04,2.388946166825404e+07,2.383696992597872e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279410274770302e+11,8.691604605919028e+06,1.607289625195638e+00,2.412989246944031e+04,5.001414677266226e+02,2.415684252726223e+04,2.389678536449014e+07,2.378436538829970e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279411175148644e+11,1.304104942518722e+07,1.147496222553277e+00,2.412989249568644e+04,5.002874013677146e+02,2.417032359491010e+04,2.390687357696749e+07,2.371252242014058e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279412075834500e+11,1.739291950967249e+07,6.877028194944429e-01,2.412989251317123e+04,5.004831162941762e+02,2.418378936822430e+04,2.391972454264070e+07,2.362203140218581e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279412976917199e+11,2.174721181222573e+07,2.279094161858659e-01,2.412989252189470e+04,5.007282909118945e+02,2.419723658143098e+04,2.393533438428981e+07,2.351362123730472e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279413878485439e+11,2.610392269997017e+07,-2.318839872055538e-01,2.412989252185683e+04,5.010225582950651e+02,2.421066199291114e+04,2.395369911247792e+07,2.338814385658177e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279414780627226e+11,3.046304795902740e+07,-6.916773905126863e-01,2.412989251305763e+04,5.013655069864392e+02,2.422406238944762e+04,2.397481541756082e+07,2.324655679192686e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279415683429784e+11,3.482458280000439e+07,-1.151470793568634e+00,2.412989249549710e+04,5.017566819009739e+02,2.423743459030669e+04,2.399867708825396e+07,2.308990447867579e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279416586979478e+11,3.918852186420311e+07,-1.611264196206670e+00,2.412989246917524e+04,5.021955853373043e+02,2.425077545130976e+04,2.402527863212440e+07,2.291929894857848e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279417491361743e+11,4.355485923055772e+07,-2.071057598260084e+00,2.412989243409205e+04,5.026816780864810e+02,2.426408186875107e+04,2.405461375248632e+07,2.273590054324995e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279418396661002e+11,4.792358842326270e+07,-2.530850999561517e+00,2.412989239024753e+04,5.032143806341355e+02,2.427735078319354e+04,2.408667479416225e+07,2.254089921342843e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279419302960598e+11,5.229470242007093e+07,-2.990644399944022e+00,2.412989233764168e+04,5.037930744500518e+02,2.429057918312108e+04,2.412145532527746e+07,2.233549688423946e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279420210342726e+11,5.666819366123918e+07,-3.450437799240653e+00,2.412989227627449e+04,5.044171033622036e+02,2.430376410846061e+04,2.415894592597791e+07,2.212089126979396e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279421118888389e+11,6.104405405909491e+07,-3.910231197284463e+00,2.412989220614597e+04,5.050857750063208e+02,2.431690265394103e+04,2.419913807724008e+07,2.189826141499893e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279422028677286e+11,6.542227500818783e+07,-4.370024593908506e+00,2.412989212725613e+04,5.057983623466210e+02,2.432999197229357e+04,2.424202241145816e+07,2.166875514694117e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279422939787790e+11,6.980284739600226e+07,-4.829817988945837e+00,2.412989203960495e+04,5.065541052561325e+02,2.434302927725284e+04,2.428758872986603e+07,2.143347851495039e+07
3.06000000e+03,2.279399945231946e+11,4.996764976543456e+07,2.279423852296866e+11,7.418576161420317e+07,-5.289611382229506e+00,2.412989194319245e+04,5.073522121598245e+02,2.435601184643542e+04,2.433582567641837e+07,2.119348722501852e+07
3.24000000e+03,2.279399935296831e+11,5.431103030587935e+07,2.279424766280038e+11,7.857100757037307e+07,-5.749404773592568e+00,2.412989183801861e+04,5.081918617237880e+02,2.436893702399341e+04,2.438672353457523e+07,2.094978000109001e+07
3.42000000e+03,2.279399924534089e+11,5.865441082660432e+07,2.279425681811324e+11,8.295857470021656e+07,-6.209198162868077e+00,2.412989172408344e+04,5.090722045884391e+02,2.438180222308833e+04,2.444026915889595e+07,2.070329375574405e+07
3.60000000e+03,2.279399912943718e+11,6.299779132603244e+07,2.279426598963183e+11,8.734845198018891e+07,-6.668991549889086e+00,2.412989160138694e+04,5.099923651383602e+02,2.439460492818110e+04,2.449645081908130e+07,2.045490041155995e+07
3.78000000e+03,2.279399900525719e+11,6.734117180258667e+07,2.279427517806486e+11,9.174062794052224e+07,-7.128784934488648e+00,2.412989146992911e+04,5.109514433015186e+02,2.440734269713278e+04,2.455525629715166e+07,2.020540519118348e+07
3.96000000e+03,2.279399887280092e+11,7.168455225468998e+07,2.279428438410453e+11,9.613509067861176e+07,-7.588578316499818e+00,2.412989132970995e+04,5.119485163697790e+02,2.442001316309307e+04,2.461667126575793e+07,1.995554618449704e+07
4.14000000e+03,2.279399873206837e+11,7.602793268076532e+07,2.279429360842634e+11,1.005318278727213e+08,-8.048371695755648e+00,2.412989118072946e+04,5.129826408352503e+02,2.443261403620049e+04,2.468068243025453e+07,1.970599499255934e+07
