t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.278933898305085e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.413235999444847e+04,5.236563517184585e+07,2.410071750769794e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.278934795637645e+11,4.343940280151238e+06,2.067083027254824e+00,2.412989243443286e+04,4.970343859634788e+02,2.413364444584002e+04,5.228640589391459e+07,2.422231817840042e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.278935687626192e+11,8.688112288682671e+06,1.607289625195638e+00,2.412989246944031e+04,4.940622110092696e+02,2.413493475724438e+04,5.220771675666936e+07,2.434530399943360e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.278936574258944e+11,1.303251708111976e+07,1.147496222553277e+00,2.412989249568644e+04,4.910835037629221e+02,2.413623093663852e+04,5.212956953236853e+07,2.446969204627410e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.278937455524167e+11,1.737715571439128e+07,6.877028194944429e-01,2.412989251317123e+04,4.880982935386339e+02,2.413753299163880e+04,5.205196613811024e+07,2.459549950085471e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.278938331410182e+11,2.172202924676436e+07,2.279094161858659e-01,2.412989252189470e+04,4.851066103416698e+02,2.413884092949619e+04,5.197490778938556e+07,2.472274364387274e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.278939201905363e+11,2.606713873777771e+07,-2.318839872055538e-01,2.412989252185683e+04,4.821084848731854e+02,2.414015475708997e+04,5.189839606553844e+07,2.485144184629844e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.278940066998146e+11,3.041248524817479e+07,-6.916773905126863e-01,2.412989251305763e+04,4.791039485316582e+02,2.414147448092279e+04,5.182243313487911e+07,2.498161156028593e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.278940926677023e+11,3.475806983983524e+07,-1.151470793568634e+00,2.412989249549710e+04,4.760930334148047e+02,2.414280010711517e+04,5.174702035049479e+07,2.511327030931029e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.278941780930537e+11,3.910389357570507e+07,-1.611264196206670e+00,2.412989246917524e+04,4.730757723247729e+02,2.414413164139932e+04,5.167215949212510e+07,2.524643567745068e+07
