t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279781355932203e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.412787424554054e+04,4.499096740686168e+07,2.402433647101555e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279782258420652e+11,4.343198865332003e+06,2.067083027254824e+00,2.412989243443286e+04,5.027643786198780e+02,2.412988977269705e+04,4.506704579853489e+07,2.386984235690844e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279783165877084e+11,8.686759604248272e+06,1.607289625195638e+00,2.412989246944031e+04,5.055199644738217e+02,2.413189506054784e+04,4.514385813482723e+07,2.371735661883276e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279784078285602e+11,1.303068037385934e+07,1.147496222553277e+00,2.412989249568644e+04,5.082666838178000e+02,2.413389011134435e+04,4.522140144063596e+07,2.356685655974418e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279784995630183e+11,1.737495933178198e+07,6.877028194944429e-01,2.412989251317123e+04,5.110044645090446e+02,2.413587492845540e+04,4.529967360554470e+07,2.341831922297756e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279785917894673e+11,2.171959463633869e+07,2.279094161858659e-01,2.412989252189470e+04,5.137332360043907e+02,2.413784951635207e+04,4.537867174738310e+07,2.327172143740600e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279786845062792e+11,2.606458444675463e+07,-2.318839872055538e-01,2.412989252185683e+04,5.164529293565034e+02,2.413981388059154e+04,4.545839340750460e+07,2.312703985949470e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279787777118140e+11,3.040992692335178e+07,-6.916773905126863e-01,2.412989251305763e+04,5.191634772092447e+02,2.414176802780072e+04,4.553883561481060e+07,2.298425101237398e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279788714044198e+11,3.475562022774015e+07,-1.151470793568634e+00,2.412989249549710e+04,5.218648137913040e+02,2.414371196565865e+04,4.561999606302805e+07,2.284333132216755e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279789655824326e+11,3.910166252300499e+07,-1.611264196206670e+00,2.412989246917524e+04,5.245568749134503e+02,2.414564570288125e+04,4.570187242833161e+07,2.270425715152460e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279790602441772e+11,4.344805197389317e+07,-2.071057598260084e+00,2.412989243409205e+04,5.272395979607734e+02,2.414756924920395e+04,4.578446132775462e+07,2.256700483078536e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279791553879671e+11,4.779478674699360e+07,-2.530850999561517e+00,2.412989239024753e+04,5.299129218874817e+02,2.414948261536528e+04,4.586776064959204e+07,2.243155068671401e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279792510121052e+11,5.214186501091775e+07,-2.990644399944022e+00,2.412989233764168e+04,5.325767872096563e+02,2.415138581308996e+04,4.595176729467364e+07,2.229787106907355e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279793471148831e+11,5.648928493647446e+07,-3.450437799240653e+00,2.412989227627449e+04,5.352311359988964e+02,2.415327885507220e+04,4.603647900794026e+07,2.216594237513582e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279794436945840e+11,6.083704469684400e+07,-3.910231197284463e+00,2.412989220614597e+04,5.378759118741424e+02,2.415516175495894e+04,4.612189290456052e+07,2.203574107210199e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279795407494789e+11,6.518514246774708e+07,-4.370024593908506e+00,2.412989212725613e+04,5.405110599927519e+02,2.415703452733183e+04,4.620800621379031e+07,2.190724371808267e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279796382778302e+11,6.953357642761259e+07,-4.829817988945837e+00,2.412989203960495e+04,5.431365270456655e+02,2.415889718769272e+04,4.629481669731730e+07,2.178042698078058e+07
3.06000000e+03,2.279399945231946e+11,4.996764976543456e+07,2.279797362778912e+11,7.388234475774057e+07,-5.289611382229506e+00,2.412989194319245e+04,5.457522612435359e+02,2.416074975244357e+04,4.638232101693463e+07,2.165526765514245e+07
3.24000000e+03,2.279399935296831e+11,5.431103030587935e+07,2.279798347479044e+11,7.823144564246334e+07,-5.749404773592568e+00,2.412989183801861e+04,5.483582123132331e+02,2.416259223887288e+04,4.647051703563991e+07,2.153174267913587e+07
3.42000000e+03,2.279399924534089e+11,5.865441082660432e+07,2.279799336861049e+11,8.258087726930417e+07,-6.209198162868077e+00,2.412989172408344e+04,5.509543314852940e+02,2.416442466513671e+04,4.655940145305421e+07,2.140982914820253e+07
