t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279493220338983e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.412939911949466e+04,2.562600163415103e+07,2.387905370610841e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279494123775504e+11,4.344274466695504e+06,2.067083027254824e+00,2.412989243443286e+04,5.038235846925040e+02,2.414031310136963e+04,2.565968872575719e+07,2.367011338151094e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279495034115959e+11,8.690509558858156e+06,1.607289625195638e+00,2.412989246944031e+04,5.076708663355898e+02,2.415118351819668e+04,2.569575371714133e+07,2.345297426094851e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279495951402028e+11,1.303869726513624e+07,1.147496222553277e+00,2.412989249568644e+04,5.115407570356326e+02,2.416200849154079e+04,2.573418946394774e+07,2.322865452646123e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279496875673419e+11,1.738882923988938e+07,6.877028194944429e-01,2.412989251317123e+04,5.154321585642633e+02,2.417278618579576e+04,2.577498926646724e+07,2.299814434620547e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279497806967858e+11,2.174089681103516e+07,2.279094161858659e-01,2.412989252189470e+04,5.193439637726239e+02,2.418351480966038e+04,2.581814508589905e+07,2.276239826076024e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279498745321047e+11,2.609489098814634e+07,-2.318839872055538e-01,2.412989252185683e+04,5.232750580140695e+02,2.419419261753204e+04,2.586364784571370e+07,2.252232897491441e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279499690766746e+11,3.045080247079845e+07,-6.916773905126863e-01,2.412989251305763e+04,5.272243205636356e+02,2.420481791079318e+04,2.591148941137413e+07,2.227880250249644e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279500643336619e+11,3.480862165712585e+07,-1.151470793568634e+00,2.412989249549710e+04,5.311906260060190e+02,2.421538903893311e+04,2.596166044889478e+07,2.203263458673554e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279501603060329e+11,3.916833865258720e+07,-1.611264196206670e+00,2.412989246917524e+04,5.351728456584233e+02,2.422590440068005e+04,2.601415213695686e+07,2.178458828129258e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279502569965506e+11,4.352994327891026e+07,-2.071057598260084e+00,2.412989243409205e+04,5.391698489343689e+02,2.423636244491309e+04,2.606895369606292e+07,2.153537258107588e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279503544077743e+11,4.789342508320094e+07,-2.530850999561517e+00,2.412989239024753e+04,5.431805047219628e+02,2.424676167154732e+04,2.612605524767786e+07,2.128564196849386e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279504525420598e+11,5.225877334719867e+07,-2.990644399944022e+00,2.412989233764168e+04,5.472036827287230e+02,2.425710063228321e+04,2.618544595105818e+07,2.103599674755784e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279505514015593e+11,5.662597709665719e+07,-3.450437799240653e+00,2.412989227627449e+04,5.512382547977409e+02,2.426737793124140e+04,2.624711532173772e+07,2.078698403817079e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279506509882225e+11,6.099502511083045e+07,-3.910231197284463e+00,2.412989220614597e+04,5.552830962088000e+02,2.427759222552142e+04,2.631105164248614e+07,2.053909930774866e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279507513037970e+11,6.536590593205125e+07,-4.370024593908506e+00,2.412989212725613e+04,5.593370869407293e+02,2.428774222563838e+04,2.637724389596032e+07,2.029278832971573e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279508523498296e+11,6.973860787537615e+07,-4.829817988945837e+00,2.412989203960495e+04,5.633991129038510e+02,2.429782669586451e+04,2.644567920806556e+07,2.004844946531784e+07
3.06000000e+03,2.279399945231946e+11,4.996764976543456e+07,2.279509541276668e+11,7.411311903829029e+07,-5.289611382229506e+00,2.412989194319245e+04,5.674680671452595e+02,2.430784445449051e+04,2.651634640183774e+07,1.980643617880273e+07
3.24000000e+03,2.279399935296831e+11,5.431103030587935e+07,2.279510566384566e+11,7.848942731043899e+07,-5.749404773592568e+00,2.412989183801861e+04,5.715428509955296e+02,2.431779437394326e+04,2.658923237633534e+07,1.956705970758254e+07
3.42000000e+03,2.279399924534089e+11,5.865441082660432e+07,2.279511598831504e+11,8.286752038338174e+07,-6.209198162868077e+00,2.412989172408344e+04,5.756223751974396e+02,2.432767538085716e+04,2.666432371606515e+07,1.933059181802744e+07
3.60000000e+03,2.279399912943718e+11,6.299779132603244e+07,2.279512638625039e+11,8.724738576034564e+07,-6.668991549889086e+00,2.412989160138694e+04,5.797055609759680e+02,2.433748645601655e+04,2.674160862805203e+07,1.909726759252403e+07
