t,x_mars,y_mars,x_ship,y_ship,v_x_mars,v_y_mars,v_x_ship,v_y_ship,d,b
0.00000000e+00,2.279399987501791e+11,-2.386982091107302e+07,2.279120338983051e+11,0.000000000000000e+00,2.526876428563472e+00,2.412989239066407e+04,5.000000000000000e+02,2.413137291502597e+04,3.676685035909761e+07,2.395294072647576e+07
1.80000000e+02,2.279399991636355e+11,-1.952644027667850e+07,2.279121234663257e+11,4.343980874575849e+06,2.067083027254824e+00,2.412989243443286e+04,4.951973522263020e+02,2.413508569202485e+04,3.669947555847558e+07,2.416264606830930e+07
3.60000000e+02,2.279399994943290e+11,-1.518305963519413e+07,2.279122121689752e+11,8.688631892176958e+06,1.607289625195638e+00,2.412989246944031e+04,4.903848034189681e+02,2.413881893975636e+04,3.663322413142025e+07,2.437510268080957e+07
5.40000000e+02,2.279399997422597e+11,-1.083967898820086e+07,2.279123000044944e+11,1.303395672948882e+07,1.147496222553277e+00,2.412989249568644e+04,4.855626111759907e+02,2.414257256792808e+04,3.656810043519330e+07,2.459028231413533e+07
7.20000000e+02,2.279399999074276e+11,-6.496298337273437e+06,2.279123869711704e+11,1.737995904647773e+07,6.877028194944429e-01,2.412989251317123e+04,4.807310372615202e+02,2.414634648105796e+04,3.650410835169692e+07,2.480814995182259e+07
9.00000000e+02,2.279399999898327e+11,-2.152917683986847e+06,2.279124730673394e+11,2.172664248545295e+07,2.279094161858659e-01,2.412989252189470e+04,4.758903475609083e+02,2.415014057842763e+04,3.644125208781154e+07,2.502866328646213e+07
1.08000000e+03,2.279399999894750e+11,2.190462970082306e+06,2.279125582913839e+11,2.607401067012055e+07,-2.318839872055538e-01,2.412989252185683e+04,4.710408120186783e+02,2.415395475404972e+04,3.637953607599603e+07,2.525177217168937e+07
1.26000000e+03,2.279399999063545e+11,6.533843623355252e+06,2.279126426417420e+11,3.042206720463333e+07,-6.916773905126863e-01,2.412989251305763e+04,4.661827045748415e+02,2.415778889663873e+04,3.631896412313359e+07,2.547741804974901e+07
1.44000000e+03,2.279399997404712e+11,1.087722427425541e+07,2.279127261168853e+11,3.477081567263142e+07,-1.151470793568634e+00,2.412989249549710e+04,4.613163031076626e+02,2.416164288956975e+04,3.625954019933707e+07,2.570553335697122e+07
1.62000000e+03,2.279399994918250e+11,1.522060492120783e+07,2.279128087153513e+11,3.912025963628173e+07,-1.611264196206670e+00,2.412989246917524e+04,4.564418893622040e+02,2.416551661085887e+04,3.620126833661373e+07,2.593604090560897e+07
1.80000000e+03,2.279399991604160e+11,1.956398556263768e+07,2.279128904357231e+11,4.347040263530976e+07,-2.071057598260084e+00,2.412989243409205e+04,4.515597488760442e+02,2.416940993313908e+04,3.614415203343339e+07,2.616885324829825e+07
1.98000000e+03,2.279399987462443e+11,2.390736619696403e+07,2.279129712766360e+11,4.782124818602911e+07,-2.530850999561517e+00,2.412989239024753e+04,4.466701709112721e+02,2.417332272363337e+04,3.608819561485008e+07,2.640387202309455e+07
2.16000000e+03,2.279399982493097e+11,2.825074682260985e+07,2.279130512367775e+11,5.217279978036447e+07,-2.990644399944022e+00,2.412989233764168e+04,4.417734483707453e+02,2.417725484414122e+04,3.603340270997506e+07,2.664098728475601e+07
2.34000000e+03,2.279399976696123e+11,3.259412743799809e+07,2.279131303148883e+11,5.652506088487618e+07,-3.450437799240653e+00,2.412989227627449e+04,4.368698777206691e+02,2.418120615102035e+04,3.597977662423185e+07,2.688007682414410e+07
2.52000000e+03,2.279399970071521e+11,3.693750804155172e+07,2.279132085097627e+11,6.087803493977834e+07,-3.910231197284463e+00,2.412989220614597e+04,4.319597589015848e+02,2.418517649517828e+04,3.592732134272015e+07,2.712100548092085e+07
2.70000000e+03,2.279399962619290e+11,4.128088863169371e+07,2.279132858202493e+11,6.523172535795686e+07,-4.370024593908506e+00,2.412989212725613e+04,4.270433952472511e+02,2.418916572205839e+04,3.587604054030912e+07,2.736362445347443e+07
2.88000000e+03,2.279399954339432e+11,4.562426920684700e+07,2.279133622452516e+11,6.958613552398546e+07,-4.829817988945837e+00,2.412989203960495e+04,4.221210933877049e+02,2.419317367163972e+04,3.582593738781956e+07,2.760777061283266e+07
3.06000000e+03,2.279399945231946e+11,4.996764976543456e+07,2.279134377837285e+11,7.394126879314302e+07,-5.289611382229506e+00,2.412989194319245e+04,4.171931631575113e+02,2.419720017843342e+04,3.577701536812370e+07,2.785326582641461e+07
3.24000000e+03,2.279399935296831e+11,5.431103030587935e+07,2.279135124346949e+11,7.829712849042772e+07,-5.749404773592568e+00,2.412989183801861e+04,4.122599174977035e+02,2.420124507148485e+04,3.572927785154153e+07,2.809991629920764e+07
3.42000000e+03,2.279399924534089e+11,5.865441082660432e+07,2.279135861972226e+11,8.265371790957506e+07,-6.209198162868077e+00,2.412989172408344e+04,4.073216723533936e+02,2.420530817438138e+04,3.568272852014962e+07,2.834751194139932e+07
3.60000000e+03,2.279399912943718e+11,6.299779132603244e+07,2.279136590704400e+11,8.701104031207624e+07,-6.668991549889086e+00,2.412989160138694e+04,4.023787465725696e+02,2.420938930525908e+04,3.563737000035115e+07,2.859582577109415e+07
