i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
24,-2.737127615062761e+07,2.272522632354942e+07,-2.180708527866336e+02,-4.737143185902369e+00,2.492239573139506e+01,0,1.215000001086806e+05
25,-2.708763598326360e+07,2.243831265796846e+07,-2.226383318635053e+02,-4.754685711469392e+00,2.518190407961982e+01,0,1.215000001086806e+05
26,-2.680399581589958e+07,2.215154493799527e+07,-2.273449806680037e+02,-4.773464645128115e+00,2.544656279764076e+01,0,1.215000001086806e+05
27,-2.652035564853556e+07,2.186492656940339e+07,-2.321963384647897e+02,-4.793481739015533e+00,2.571652791169626e+01,0,1.215000001086806e+05
28,-2.623671548117155e+07,2.157846070247153e+07,-2.371982142684392e+02,-4.814752075046727e+00,2.599196068705874e+01,0,1.215000001086806e+05
29,-2.595307531380753e+07,2.129215141875613e+07,-2.423567018544745e+02,-4.837285679906927e+00,2.627302884614641e+01,0,1.215000001086806e+05
30,-2.566943514644351e+07,2.100601824817925e+07,-2.476779014629174e+02,-4.861088476589430e+00,2.655989093045480e+01,0,1.215000001086806e+05
31,-2.538579497907950e+07,2.072006351024628e+07,-2.531685525319735e+02,-4.886169860266818e+00,2.685272984819476e+01,0,1.215000001086806e+05
32,-2.510215481171548e+07,2.043426834534426e+07,-2.588361890492415e+02,-4.912552611173851e+00,2.715175901996098e+01,0,1.215000001086806e+05
33,-2.481851464435146e+07,2.014864505312689e+07,-2.644510676117752e+02,-4.675296910159432e+00,2.745632617376474e+01,0,1.213200001079891e+05
34,-2.453487447698745e+07,1.986324773260237e+07,-2.704948885650520e+02,-4.704395674194529e+00,2.776827504224683e+01,0,1.213200001079891e+05
35,-2.425123430962343e+07,1.957800866064565e+07,-2.767395617873772e+02,-4.734852965639220e+00,2.808704748851245e+01,0,1.213200001079891e+05
36,-2.396759414225942e+07,1.929299781757924e+07,-2.831923106479262e+02,-4.766641909188365e+00,2.841279428166488e+01,0,1.213200001079891e+05
37,-2.368395397489540e+07,1.900816574266893e+07,-2.898635225359067e+02,-4.799811357580893e+00,2.874581016451727e+01,0,1.213200001079891e+05
38,-2.340031380753138e+07,1.872357616006291e+07,-2.967614317906555e+02,-4.834336963897840e+00,2.908627002054969e+01,0,1.213200001079891e+05
39,-2.311667364016736e+07,1.843918230628309e+07,-3.038974838036738e+02,-4.870261249679970e+00,2.943449040093746e+01,0,1.213200001079891e+05
40,-2.283303347280335e+07,1.815503514531405e+07,-3.112812273149466e+02,-4.907577132152710e+00,2.979068008419070e+01,0,1.213200001079891e+05
41,-2.254939330543933e+07,1.787112765711483e+07,-3.186938200493205e+02,-4.680960390855489e+00,3.015436706895756e+01,0,1.211400001072976e+05
42,-2.226575313807531e+07,1.758745690032695e+07,-3.266095809228755e+02,-4.721290473381941e+00,3.052739347243855e+01,0,1.211400001072976e+05
43,-2.198211297071129e+07,1.730402464987201e+07,-3.348096964169126e+02,-4.763077205660466e+00,3.090929395958513e+01,0,1.211400001072976e+05
44,-2.169847280334728e+07,1.702088145250728e+07,-3.433061946369817e+02,-4.806309314323698e+00,3.130032528266417e+01,0,1.211400001072976e+05
45,-2.141483263598326e+07,1.673800891815159e+07,-3.521139382882902e+02,-4.851014567122547e+00,3.170085392838512e+01,0,1.211400001072976e+05
46,-2.113119246861925e+07,1.645541797107293e+07,-3.612477358004217e+02,-4.897210559268387e+00,3.211122140561760e+01,0,1.211400001072976e+05
47,-2.084755230125523e+07,1.617311954925161e+07,-3.704990383860459e+02,-4.679289870353841e+00,3.253107968008989e+01,0,1.209600001066061e+05
48,-2.056391213389121e+07,1.589112450896711e+07,-3.803344813861549e+02,-4.728740094855311e+00,3.296223289274837e+01,0,1.209600001066061e+05
49,-2.028027196652719e+07,1.560944423765129e+07,-3.905460706345657e+02,-4.779730543330516e+00,3.340435850649416e+01,0,1.209600001066061e+05
50,-1.999663179916318e+07,1.532811089089346e+07,-4.011517346009423e+02,-4.832264548956118e+00,3.385783814818486e+01,0,1.209600001066061e+05
51,-1.971299163179916e+07,1.504711477430652e+07,-4.121721496972386e+02,-4.886370091686331e+00,3.432314247755335e+01,0,1.209600001066061e+05
52,-1.942935146443515e+07,1.476646402288302e+07,-4.234106362466700e+02,-4.676244712300104e+00,3.480007689993029e+01,0,1.207800001059146e+05
53,-1.914571129707113e+07,1.448617466993977e+07,-4.353272297459953e+02,-4.733833354786384e+00,3.529045245118927e+01,0,1.207800001059146e+05
54,-1.886207112970711e+07,1.420630738257933e+07,-4.477239823119453e+02,-4.793025237240272e+00,3.579401759788401e+01,0,1.207800001059146e+05
55,-1.857843096234310e+07,1.392680558418853e+07,-4.606294259412462e+02,-4.853879050831893e+00,3.631143386332840e+01,0,1.207800001059146e+05
56,-1.829479079497908e+07,1.364775448841817e+07,-4.738550632172737e+02,-4.650275122497987e+00,3.684250673377847e+01,0,1.206000001052231e+05
57,-1.801115062761506e+07,1.336912202992354e+07,-4.878581470062345e+02,-4.714781543550544e+00,3.738917412703131e+01,0,1.206000001052231e+05
58,-1.772751046025104e+07,1.309094087316689e+07,-5.024544268216050e+02,-4.780987128755442e+00,3.795139342127499e+01,0,1.206000001052231e+05
59,-1.744387029288703e+07,1.281325019809880e+07,-5.176752146257058e+02,-4.848898925301000e+00,3.852977192864887e+01,0,1.206000001052231e+05
60,-1.716023012552301e+07,1.253605121978338e+07,-5.333509828712304e+02,-4.652359523701762e+00,3.912444967150928e+01,0,1.204200001045316e+05
61,-1.687658995815900e+07,1.225936850451631e+07,-5.499310999438276e+02,-4.724132590042245e+00,3.973732629715534e+01,0,1.204200001045316e+05
62,-1.659294979079498e+07,1.198322707683974e+07,-5.672473982735864e+02,-4.797679986703770e+00,4.036856204687481e+01,0,1.204200001045316e+05
63,-1.630930962343096e+07,1.170765212094656e+07,-5.853418578169512e+02,-4.873016956511492e+00,4.101896030869510e+01,0,1.204200001045316e+05
64,-1.602566945606694e+07,1.143266798248731e+07,-6.040626345075398e+02,-4.684081613507260e+00,4.168882591438085e+01,0,1.202400001038401e+05
65,-1.574202928870293e+07,1.115829983076234e+07,-6.238541394534441e+02,-4.763485050475992e+00,4.238016893831026e+01,0,1.202400001038401e+05
66,-1.545838912133891e+07,1.088459931670394e+07,-6.445665632952005e+02,-4.844726356875071e+00,4.309332118017196e+01,0,1.202400001038401e+05
67,-1.517474895397489e+07,1.061157187313775e+07,-6.660668214904508e+02,-4.661592799950540e+00,4.382883058104547e+01,0,1.200600001031485e+05
68,-1.489110878661088e+07,1.033925792032874e+07,-6.887956038614939e+02,-4.747062329325672e+00,4.458879040349306e+01,0,1.200600001031485e+05
69,-1.460746861924686e+07,1.006769764122925e+07,-7.126225991689244e+02,-4.834439716927136e+00,4.537377912495792e+01,0,1.200600001031485e+05
70,-1.432382845188284e+07,9.796933839817859e+06,-7.374328425888198e+02,-4.657438609012843e+00,4.618447787071673e+01,0,1.198800001024570e+05
71,-1.404018828451883e+07,9.526992878753053e+06,-7.636662191881987e+02,-4.749191335784417e+00,4.702317883239426e+01,0,1.198800001024570e+05
72,-1.375654811715481e+07,9.257922762094434e+06,-7.912145333314147e+02,-4.842909607575621e+00,4.789070150014359e+01,0,1.198800001024570e+05
73,-1.347290794979079e+07,8.989774488165462e+06,-8.199875683930986e+02,-4.672383857609475e+00,4.878797967818740e+01,0,1.197000001017655e+05
