i,b,d_min,delta_v,delta_v_rel,deflection_angle,collision,t
117,-9.927405857740561e+05,2.663271482804454e+06,3.532334606367298e+03,3.541404373556663e+03,3.816001220562992e+00,1,5.759999992093762e+04
118,-7.091004184100394e+05,2.609242313015283e+06,3.590101192788621e+03,3.594567603119976e+03,2.773790691979527e+00,1,5.759999992093762e+04
119,-4.254602510460226e+05,2.572729568664309e+06,3.630138487558710e+03,3.631498534130581e+03,1.684076128742636e+00,1,5.759999992093762e+04
120,-1.418200836820059e+05,2.554321536227314e+06,3.650395897292401e+03,3.650431227071400e+03,5.642286272213799e-01,1,5.759999992093762e+04
121,1.418200836820109e+05,2.554336175143625e+06,3.649774623718600e+03,3.650415697057435e+03,5.659019739238312e-01,1,5.759999992093762e+04
122,4.254602510460276e+05,2.572772740670410e+06,3.628291453107679e+03,3.631453144275167e+03,1.685697212173785e+00,1,5.759999992093762e+04
123,7.091004184100444e+05,2.609315060387008e+06,3.587075669721718e+03,3.594494500729802e+03,2.775347372380955e+00,1,5.759999992093762e+04
124,9.927405857740612e+05,2.663369459849433e+06,3.528204598130334e+03,3.541307153948394e+03,3.817465537075056e+00,1,5.759999992093762e+04
125,1.276380753138078e+06,2.734098475607718e+06,3.454420862215637e+03,3.474243366368452e+03,4.798187682594216e+00,1,5.759999992093762e+04
126,1.560020920502095e+06,2.820502609210099e+06,3.368803418364409e+03,3.395967901760320e+03,5.707707570768152e+00,1,5.759999992093762e+04
127,1.843661087866111e+06,2.921462701502513e+06,3.274461165538592e+03,3.309200465297969e+03,6.540257372347548e+00,1,5.759999992093762e+04
128,2.127301255230128e+06,3.035825076869006e+06,3.174295676742819e+03,3.216511741501835e+03,7.293669713989219e+00,1,5.759999992093762e+04
129,2.410941422594145e+06,3.162433785714413e+06,3.070850298326128e+03,3.120188707073020e+03,7.968700727887140e+00,1,5.759999992093762e+04
130,2.694581589958162e+06,3.300171150474236e+06,2.966240024598708e+03,3.022166488541553e+03,8.568278515400799e+00,1,5.759999992093762e+04
131,2.978221757322178e+06,2.490241027732024e+06,3.580939361638579e+03,3.718061012612222e+03,1.299452299866458e+01,1,5.777999992031945e+04
132,3.261861924686195e+06,2.683883950144308e+06,3.381424205888328e+03,3.521568527927528e+03,1.330923562126589e+01,1,5.777999992031945e+04
133,3.545502092050212e+06,2.883731000006034e+06,3.199321555634036e+03,3.341062916082816e+03,1.355008968018235e+01,1,5.777999992031945e+04
134,3.829142259414229e+06,3.088977945808227e+06,3.033088219602130e+03,3.175307058013558e+03,1.373059230051141e+01,1,5.777999992031945e+04
135,4.112782426778246e+06,3.298955443971777e+06,2.881175501894544e+03,3.023003416698573e+03,1.386167195228614e+01,1,5.777999992031945e+04
136,4.396422594142262e+06,2.713834286816218e+06,3.210505579418059e+03,3.493173629032214e+03,1.910787531388540e+01,1,5.795999991970129e+04
137,4.680062761506279e+06,2.965355261485456e+06,3.010558996109365e+03,3.272954051543359e+03,1.866918018724150e+01,1,5.795999991970129e+04
138,4.963702928870296e+06,3.217062203912297e+06,2.835357134652979e+03,3.080508887411911e+03,1.827644681769612e+01,1,5.795999991970129e+04
139,5.247343096234312e+06,2.804965113693275e+06,2.974598872475155e+03,3.409760595200603e+03,2.395735803348012e+01,1,5.813999991908312e+04
