t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,-2.595307531381e+07,2.695447858255e+03,0.000000000000e+00,1.714506860390e+08
1.80000000e+02,-1.689897960108e+08,-2.595307173082e+07,2.695707818679e+03,3.986698502905e-02,1.709710911211e+08
3.60000000e+02,-1.685045450988e+08,-2.595306094152e+07,2.695969224384e+03,8.007087848880e-02,1.704914777922e+08
5.40000000e+02,-1.680192470028e+08,-2.595304288491e+07,2.696232087456e+03,1.206154873081e-01,1.700118487178e+08
7.20000000e+02,-1.675339014594e+08,-2.595301749931e+07,2.696496420113e+03,1.615046723379e-01,1.695322038996e+08
9.00000000e+02,-1.670485082029e+08,-2.595298472236e+07,2.696762234711e+03,2.027423492702e-01,1.690525433403e+08
1.08000000e+03,-1.665630669655e+08,-2.595294449096e+07,2.697029543742e+03,2.443324895743e-01,1.685728670432e+08
1.26000000e+03,-1.660775774770e+08,-2.595289674131e+07,2.697298359842e+03,2.862791214527e-01,1.680931750127e+08
1.44000000e+03,-1.655920394651e+08,-2.595284140888e+07,2.697568695785e+03,3.285863308158e-01,1.676134672537e+08
1.62000000e+03,-1.651064526549e+08,-2.595277842839e+07,2.697840564494e+03,3.712582622758e-01,1.671337437722e+08
1.80000000e+03,-1.646208167694e+08,-2.595270773381e+07,2.698113979034e+03,4.142991201611e-01,1.666540045750e+08
1.98000000e+03,-1.641351315291e+08,-2.595262925836e+07,2.698388952622e+03,4.577131695510e-01,1.661742496698e+08
2.16000000e+03,-1.636493966524e+08,-2.595254293447e+07,2.698665498623e+03,5.015047373315e-01,1.656944790654e+08
2.34000000e+03,-1.631636118548e+08,-2.595244869378e+07,2.698943630555e+03,5.456782132720e-01,1.652146927711e+08
2.52000000e+03,-1.626777768497e+08,-2.595234646717e+07,2.699223362092e+03,5.902380511246e-01,1.647348907977e+08
2.70000000e+03,-1.621918913479e+08,-2.595223618468e+07,2.699504707064e+03,6.351887697454e-01,1.642550731567e+08
2.88000000e+03,-1.617059550578e+08,-2.595211777553e+07,2.699787679461e+03,6.805349542391e-01,1.637752398605e+08
3.06000000e+03,-1.612199676851e+08,-2.595199116813e+07,2.700072293433e+03,7.262812571269e-01,1.632953909228e+08
3.24000000e+03,-1.607339289331e+08,-2.595185629003e+07,2.700358563296e+03,7.724323995380e-01,1.628155263581e+08
3.42000000e+03,-1.602478385024e+08,-2.595171306794e+07,2.700646503531e+03,8.189931724270e-01,1.623356461823e+08
3.60000000e+03,-1.597616960910e+08,-2.595156142767e+07,2.700936128788e+03,8.659684378151e-01,1.618557504121e+08
3.78000000e+03,-1.592755013943e+08,-2.595140129418e+07,2.701227453887e+03,9.133631300578e-01,1.613758390654e+08
3.96000000e+03,-1.587892541050e+08,-2.595123259152e+07,2.701520493824e+03,9.611822571393e-01,1.608959121613e+08
4.14000000e+03,-1.583029539130e+08,-2.595105524284e+07,2.701815263768e+03,1.009430901993e+00,1.604159697202e+08
4.32000000e+03,-1.578166005056e+08,-2.595086917037e+07,2.702111779069e+03,1.058114223850e+00,1.599360117634e+08
4.50000000e+03,-1.573301935672e+08,-2.595067429538e+07,2.702410055258e+03,1.107237459619e+00,1.594560383136e+08
4.68000000e+03,-1.568437327794e+08,-2.595047053822e+07,2.702710108049e+03,1.156805925286e+00,1.589760493949e+08
4.86000000e+03,-1.563572178210e+08,-2.595025781826e+07,2.703011953343e+03,1.206825017359e+00,1.584960450324e+08
5.04000000e+03,-1.558706483680e+08,-2.595003605390e+07,2.703315607232e+03,1.257300214326e+00,1.580160252527e+08
5.22000000e+03,-1.553840240932e+08,-2.594980516253e+07,2.703621085997e+03,1.308237078159e+00,1.575359900837e+08
5.40000000e+03,-1.548973446668e+08,-2.594956506056e+07,2.703928406117e+03,1.359641255839e+00,1.570559395547e+08
5.58000000e+03,-1.544106097559e+08,-2.594931566335e+07,2.704237584268e+03,1.411518480919e+00,1.565758736963e+08
5.76000000e+03,-1.539238190243e+08,-2.594905688523e+07,2.704548637327e+03,1.463874575124e+00,1.560957925408e+08
5.94000000e+03,-1.534369721332e+08,-2.594878863947e+07,2.704861582374e+03,1.516715449974e+00,1.556156961216e+08
6.12000000e+03,-1.529500687404e+08,-2.594851083827e+07,2.705176436699e+03,1.570047108455e+00,1.551355844738e+08
6.30000000e+03,-1.524631085007e+08,-2.594822339275e+07,2.705493217799e+03,1.623875646719e+00,1.546554576341e+08
6.48000000e+03,-1.519760910657e+08,-2.594792621291e+07,2.705811943386e+03,1.678207255820e+00,1.541753156406e+08
6.66000000e+03,-1.514890160837e+08,-2.594761920763e+07,2.706132631388e+03,1.733048223493e+00,1.536951585332e+08
6.84000000e+03,-1.510018831999e+08,-2.594730228466e+07,2.706455299953e+03,1.788404935968e+00,1.532149863532e+08
7.02000000e+03,-1.505146920561e+08,-2.594697535058e+07,2.706779967453e+03,1.844283879826e+00,1.527347991438e+08
7.20000000e+03,-1.500274422909e+08,-2.594663831079e+07,2.707106652485e+03,1.900691643891e+00,1.522545969498e+08
7.38000000e+03,-1.495401335393e+08,-2.594629106951e+07,2.707435373878e+03,1.957634921171e+00,1.517743798178e+08
7.56000000e+03,-1.490527654333e+08,-2.594593352974e+07,2.707766150694e+03,2.015120510839e+00,1.512941477961e+08
7.74000000e+03,-1.485653376009e+08,-2.594556559323e+07,2.708099002232e+03,2.073155320254e+00,1.508139009349e+08
