i,b,d_min,delta_v,deflection_angle,collision,t
205,2.396759414225942e+07,1.930140637719101e+07,9.575509354435781e-01,2.830911616288614e+01,0,1.216800001093721e+05
206,2.425123430962344e+07,1.958621753707937e+07,9.799976400763626e-01,2.798512638962642e+01,0,1.218600001100636e+05
207,2.453487447698745e+07,1.987122158962859e+07,1.002692387006391e+00,2.766732163190582e+01,0,1.218600001100636e+05
208,2.481851464435147e+07,2.015641202196915e+07,1.025634615477884e+00,2.735628294525907e+01,0,1.218600001100636e+05
209,2.510215481171548e+07,2.044178259149134e+07,1.048823765022007e+00,2.705179849338958e+01,0,1.218600001100636e+05
210,2.538579497907950e+07,2.072732731191134e+07,1.072259272373230e+00,2.675366501913606e+01,0,1.218600001100636e+05
211,2.566943514644352e+07,2.101304044041663e+07,1.095940568965034e+00,2.646168742397634e+01,0,1.218600001100636e+05
212,2.595307531380754e+07,2.129891646539666e+07,1.119867068716758e+00,2.617654891405414e+01,0,1.220400001107551e+05
213,2.623671548117155e+07,2.158495009503975e+07,1.144038209968585e+00,2.589633921210715e+01,0,1.220400001107551e+05
214,2.652035564853557e+07,2.187113624635831e+07,1.168453398728161e+00,2.562174519152970e+01,0,1.220400001107551e+05
215,2.680399581589958e+07,2.215747003521398e+07,1.193112047099930e+00,2.535260063976692e+01,0,1.220400001107551e+05
216,2.708763598326360e+07,2.244394676646824e+07,1.218013567070557e+00,2.508874573056184e+01,0,1.220400001107551e+05
217,2.737127615062762e+07,2.273056192516451e+07,1.243157350919319e+00,2.483002672604794e+01,0,1.220400001107551e+05
218,2.765491631799164e+07,2.301731116778997e+07,1.268542799387433e+00,2.457722303985881e+01,0,1.222200001114466e+05
219,2.793855648535565e+07,2.330419031426245e+07,1.294169314161081e+00,2.432834824502367e+01,0,1.222200001114466e+05
220,2.822219665271967e+07,2.359119534033990e+07,1.320036277421877e+00,2.408418192434652e+01,0,1.222200001114466e+05
221,2.850583682008369e+07,2.387832237031870e+07,1.346143066039986e+00,2.384459202246373e+01,0,1.222200001114466e+05
222,2.878947698744771e+07,2.416556767038887e+07,1.372489068891355e+00,2.360945130633304e+01,0,1.222200001114466e+05
223,2.907311715481172e+07,2.445292764195068e+07,1.399073654843050e+00,2.337863715110870e+01,0,1.222200001114466e+05
224,2.935675732217574e+07,2.474039881571767e+07,1.425896197983548e+00,2.315203133673442e+01,0,1.222200001114466e+05
225,2.964039748953975e+07,2.502797784583560e+07,1.452956055322829e+00,2.293051342970011e+01,0,1.224000001121381e+05
226,2.992403765690377e+07,2.531566150440580e+07,1.480252595843467e+00,2.271199682788529e+01,0,1.224000001121381e+05
227,3.020767782426779e+07,2.560344667637332e+07,1.507785175433582e+00,2.249735844776697e+01,0,1.224000001121381e+05
228,3.049131799163180e+07,2.589133035454191e+07,1.535553142106437e+00,2.228649585542405e+01,0,1.224000001121381e+05
229,3.077495815899582e+07,2.617930963491122e+07,1.563555847363205e+00,2.207931015067750e+01,0,1.224000001121381e+05
230,3.105859832635984e+07,2.646738171227467e+07,1.591792632636043e+00,2.187570581826322e+01,0,1.224000001121381e+05
231,3.134223849372385e+07,2.675554387601850e+07,1.620262835215271e+00,2.167559058635358e+01,0,1.224000001121381e+05
232,3.162587866108787e+07,2.704379350615570e+07,1.648965791734554e+00,2.147887529193554e+01,0,1.224000001121381e+05
