t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,1.886207112971e+07,2.695447858255e+03,0.000000000000e+00,1.705214161104e+08
1.80000000e+02,-1.689897956258e+08,1.886206848279e+07,2.695712104069e+03,-2.945200283945e-02,1.700392000811e+08
3.60000000e+02,-1.685045435532e+08,1.886206051192e+07,2.695977843568e+03,-5.915564639283e-02,1.695569504131e+08
5.40000000e+02,-1.680192435120e+08,1.886204717152e+07,2.696245089525e+03,-8.911381359260e-02,1.690746696578e+08
7.20000000e+02,-1.675338952301e+08,1.886202841553e+07,2.696513854857e+03,-1.193294288898e-01,1.685923576869e+08
9.00000000e+02,-1.670484984326e+08,1.886200419733e+07,2.696784152630e+03,-1.498054589750e-01,1.681100143713e+08
1.08000000e+03,-1.665630528426e+08,1.886197446979e+07,2.697055996060e+03,-1.805449135144e-01,1.676276395814e+08
1.26000000e+03,-1.660775581808e+08,1.886193918520e+07,2.697329398518e+03,-2.115508459004e-01,1.671452331867e+08
1.44000000e+03,-1.655920141651e+08,1.886189829534e+07,2.697604373527e+03,-2.428263540179e-01,1.666627950563e+08
1.62000000e+03,-1.651064205114e+08,1.886185175139e+07,2.697880934770e+03,-2.743745810263e-01,1.661803250582e+08
1.80000000e+03,-1.646207769329e+08,1.886179950397e+07,2.698159096087e+03,-3.061987161574e-01,1.656978230601e+08
1.98000000e+03,-1.641350831402e+08,1.886174150313e+07,2.698438871482e+03,-3.383019955301e-01,1.652152889288e+08
2.16000000e+03,-1.636493388417e+08,1.886167769834e+07,2.698720275123e+03,-3.706877029816e-01,1.647327225302e+08
2.34000000e+03,-1.631635437429e+08,1.886160803845e+07,2.699003321343e+03,-4.033591709161e-01,1.642501237300e+08
2.52000000e+03,-1.626776975469e+08,1.886153247172e+07,2.699288024647e+03,-4.363197811715e-01,1.637674923927e+08
2.70000000e+03,-1.621917999540e+08,1.886145094580e+07,2.699574399708e+03,-4.695729659034e-01,1.632848283822e+08
2.88000000e+03,-1.617058506621e+08,1.886136340772e+07,2.699862461377e+03,-5.031222084883e-01,1.628021315620e+08
3.06000000e+03,-1.612198493661e+08,1.886126980387e+07,2.700152224678e+03,-5.369710444460e-01,1.623194017944e+08
3.24000000e+03,-1.607337957585e+08,1.886117007999e+07,2.700443704819e+03,-5.711230623802e-01,1.618366389414e+08
3.42000000e+03,-1.602476895287e+08,1.886106418119e+07,2.700736917186e+03,-6.055819049409e-01,1.613538428639e+08
3.60000000e+03,-1.597615303637e+08,1.886095205191e+07,2.701031877351e+03,-6.403512698054e-01,1.608710134223e+08
3.78000000e+03,-1.592753179474e+08,1.886083363591e+07,2.701328601075e+03,-6.754349106813e-01,1.603881504763e+08
3.96000000e+03,-1.587890519609e+08,1.886070887629e+07,2.701627104308e+03,-7.108366383308e-01,1.599052538848e+08
4.14000000e+03,-1.583027320824e+08,1.886057771544e+07,2.701927403194e+03,-7.465603216164e-01,1.594223235058e+08
4.32000000e+03,-1.578163579873e+08,1.886044009506e+07,2.702229514073e+03,-7.826098885696e-01,1.589393591968e+08
4.50000000e+03,-1.573299293479e+08,1.886029595612e+07,2.702533453486e+03,-8.189893274824e-01,1.584563608145e+08
4.68000000e+03,-1.568434458336e+08,1.886014523890e+07,2.702839238172e+03,-8.557026880224e-01,1.579733282148e+08
4.86000000e+03,-1.563569071107e+08,1.885998788291e+07,2.703146885081e+03,-8.927540823722e-01,1.574902612530e+08
5.04000000e+03,-1.558703128425e+08,1.885982382693e+07,2.703456411368e+03,-9.301476863939e-01,1.570071597833e+08
5.22000000e+03,-1.553836626892e+08,1.885965300899e+07,2.703767834400e+03,-9.678877408177e-01,1.565240236596e+08
5.40000000e+03,-1.548969563076e+08,1.885947536634e+07,2.704081171761e+03,-1.005978552458e+00,1.560408527348e+08
5.58000000e+03,-1.544101933517e+08,1.885929083545e+07,2.704396441252e+03,-1.044424495457e+00,1.555576468610e+08
5.76000000e+03,-1.539233734721e+08,1.885909935199e+07,2.704713660896e+03,-1.083230012551e+00,1.550744058898e+08
5.94000000e+03,-1.534364963160e+08,1.885890085083e+07,2.705032848942e+03,-1.122399616372e+00,1.545911296717e+08
6.12000000e+03,-1.529495615276e+08,1.885869526604e+07,2.705354023867e+03,-1.161937890771e+00,1.541078180568e+08
6.30000000e+03,-1.524625687474e+08,1.885848253083e+07,2.705677204381e+03,-1.201849492176e+00,1.536244708941e+08
6.48000000e+03,-1.519755176128e+08,1.885826257758e+07,2.706002409429e+03,-1.242139150978e+00,1.531410880322e+08
6.66000000e+03,-1.514884077577e+08,1.885803533781e+07,2.706329658199e+03,-1.282811672946e+00,1.526576693185e+08
6.84000000e+03,-1.510012388124e+08,1.885780074216e+07,2.706658970118e+03,-1.323871940680e+00,1.521742146002e+08
7.02000000e+03,-1.505140104038e+08,1.885755872039e+07,2.706990364865e+03,-1.365324915089e+00,1.516907237232e+08
7.20000000e+03,-1.500267221552e+08,1.885730920136e+07,2.707323862369e+03,-1.407175636910e+00,1.512071965330e+08
7.38000000e+03,-1.495393736863e+08,1.885705211303e+07,2.707659482812e+03,-1.449429228253e+00,1.507236328741e+08
7.56000000e+03,-1.490519646132e+08,1.885678738240e+07,2.707997246639e+03,-1.492090894191e+00,1.502400325903e+08
7.74000000e+03,-1.485644945480e+08,1.885651493555e+07,2.708337174558e+03,-1.535165924376e+00,1.497563955249e+08
7.92000000e+03,-1.480769630996e+08,1.885623469759e+07,2.708679287545e+03,-1.578659694701e+00,1.492727215200e+08
8.10000000e+03,-1.475893698725e+08,1.885594659265e+07,2.709023606847e+03,-1.622577668995e+00,1.487890104173e+08
8.28000000e+03,-1.471017144678e+08,1.885565054389e+07,2.709370153989e+03,-1.666925400758e+00,1.483052620575e+08
8.46000000e+03,-1.466139964824e+08,1.885534647343e+07,2.709718950779e+03,-1.711708534937e+00,1.478214762807e+08
8.64000000e+03,-1.461262155095e+08,1.885503430239e+07,2.710070019309e+03,-1.756932809742e+00,1.473376529261e+08
8.82000000e+03,-1.456383711382e+08,1.885471395084e+07,2.710423381962e+03,-1.802604058506e+00,1.468537918322e+08
9.00000000e+03,-1.451504629534e+08,1.885438533780e+07,2.710779061417e+03,-1.848728211588e+00,1.463698928368e+08
9.18000000e+03,-1.446624905360e+08,1.885404838120e+07,2.711137080653e+03,-1.895311298318e+00,1.458859557768e+08
9.36000000e+03,-1.441744534629e+08,1.885370299788e+07,2.711497462955e+03,-1.942359448990e+00,1.454019804885e+08
9.54000000e+03,-1.436863513065e+08,1.885334910357e+07,2.711860231918e+03,-1.989878896906e+00,1.449179668074e+08
9.72000000e+03,-1.431981836351e+08,1.885298661286e+07,2.712225411453e+03,-2.037875980458e+00,1.444339145681e+08
9.90000000e+03,-1.427099500127e+08,1.885261543922e+07,2.712593025792e+03,-2.086357145270e+00,1.439498236047e+08
1.00800000e+04,-1.422216499987e+08,1.885223549490e+07,2.712963099493e+03,-2.135328946388e+00,1.434656937503e+08
1.02600000e+04,-1.417332831482e+08,1.885184669101e+07,2.713335657447e+03,-2.184798050516e+00,1.429815248375e+08
1.04400000e+04,-1.412448490118e+08,1.885144893741e+07,2.713710724880e+03,-2.234771238314e+00,1.424973166978e+08
1.06200000e+04,-1.407563471355e+08,1.885104214275e+07,2.714088327365e+03,-2.285255406751e+00,1.420130691624e+08
1.08000000e+04,-1.402677770607e+08,1.885062621443e+07,2.714468490821e+03,-2.336257571507e+00,1.415287820615e+08
1.09800000e+04,-1.397791383240e+08,1.885020105857e+07,2.714851241523e+03,-2.387784869441e+00,1.410444552245e+08
1.11600000e+04,-1.392904304573e+08,1.884976657999e+07,2.715236606107e+03,-2.439844561117e+00,1.405600884803e+08
1.13400000e+04,-1.388016529877e+08,1.884932268219e+07,2.715624611579e+03,-2.492444033390e+00,1.400756816569e+08
1.15200000e+04,-1.383128054374e+08,1.884886926735e+07,2.716015285314e+03,-2.545590802058e+00,1.395912345817e+08
1.17000000e+04,-1.378238873236e+08,1.884840623626e+07,2.716408655071e+03,-2.599292514576e+00,1.391067470812e+08
1.18800000e+04,-1.373348981585e+08,1.884793348834e+07,2.716804748995e+03,-2.653556952841e+00,1.386222189814e+08
1.20600000e+04,-1.368458374492e+08,1.884745092158e+07,2.717203595623e+03,-2.708392036041e+00,1.381376501074e+08
1.22400000e+04,-1.363567046976e+08,1.884695843254e+07,2.717605223895e+03,-2.763805823582e+00,1.376530402838e+08
1.24200000e+04,-1.358674994003e+08,1.884645591632e+07,2.718009663157e+03,-2.819806518079e+00,1.371683893344e+08
1.26000000e+04,-1.353782210488e+08,1.884594326653e+07,2.718416943171e+03,-2.876402468430e+00,1.366836970823e+08
1.27800000e+04,-1.348888691290e+08,1.884542037526e+07,2.718827094118e+03,-2.933602172963e+00,1.361989633499e+08
1.29600000e+04,-1.343994431213e+08,1.884488713306e+07,2.719240146613e+03,-2.991414282662e+00,1.357141879591e+08
1.31400000e+04,-1.339099425006e+08,1.884434342891e+07,2.719656131706e+03,-3.049847604478e+00,1.352293707309e+08
1.33200000e+04,-1.334203667364e+08,1.884378915017e+07,2.720075080891e+03,-3.108911104722e+00,1.347445114859e+08
1.35000000e+04,-1.329307152922e+08,1.884322418261e+07,2.720497026117e+03,-3.168613912542e+00,1.342596100437e+08
1.36800000e+04,-1.324409876257e+08,1.884264841031e+07,2.720921999793e+03,-3.228965323495e+00,1.337746662236e+08
1.38600000e+04,-1.319511831890e+08,1.884206171567e+07,2.721350034799e+03,-3.289974803206e+00,1.332896798442e+08
1.40400000e+04,-1.314613014280e+08,1.884146397938e+07,2.721781164493e+03,-3.351651991121e+00,1.328046507234e+08
1.42200000e+04,-1.309713417825e+08,1.884085508037e+07,2.722215422717e+03,-3.414006704361e+00,1.323195786785e+08
1.44000000e+04,-1.304813036864e+08,1.884023489578e+07,2.722652843813e+03,-3.477048941676e+00,1.318344635264e+08
1.45800000e+04,-1.299911865673e+08,1.883960330095e+07,2.723093462624e+03,-3.540788887494e+00,1.313493050831e+08
1.47600000e+04,-1.295009898464e+08,1.883896016936e+07,2.723537314510e+03,-3.605236916087e+00,1.308641031643e+08
1.49400000e+04,-1.290107129384e+08,1.883830537260e+07,2.723984435352e+03,-3.670403595840e+00,1.303788575850e+08
1.51200000e+04,-1.285203552518e+08,1.883763878036e+07,2.724434861568e+03,-3.736299693634e+00,1.298935681598e+08
1.53000000e+04,-1.280299161881e+08,1.883696026036e+07,2.724888630115e+03,-3.802936179347e+00,1.294082347027e+08
1.54800000e+04,-1.275393951426e+08,1.883626967831e+07,2.725345778507e+03,-3.870324230467e+00,1.289228570272e+08
1.56600000e+04,-1.270487915033e+08,1.883556689793e+07,2.725806344820e+03,-3.938475236841e+00,1.284374349463e+08
1.58400000e+04,-1.265581046515e+08,1.883485178082e+07,2.726270367704e+03,-4.007400805538e+00,1.279519682725e+08
1.60200000e+04,-1.260673339616e+08,1.883412418652e+07,2.726737886395e+03,-4.077112765852e+00,1.274664568179e+08
1.62000000e+04,-1.255764788007e+08,1.883338397239e+07,2.727208940727e+03,-4.147623174434e+00,1.269809003943e+08
1.63800000e+04,-1.250855385289e+08,1.883263099361e+07,2.727683571138e+03,-4.218944320569e+00,1.264952988128e+08
1.65600000e+04,-1.245945124986e+08,1.883186510311e+07,2.728161818688e+03,-4.291088731587e+00,1.260096518843e+08
1.67400000e+04,-1.241034000551e+08,1.883108615157e+07,2.728643725068e+03,-4.364069178436e+00,1.255239594194e+08
1.69200000e+04,-1.236122005360e+08,1.883029398734e+07,2.729129332612e+03,-4.437898681392e+00,1.250382212280e+08
1.71000000e+04,-1.231209132712e+08,1.882948845638e+07,2.729618684309e+03,-4.512590515936e+00,1.245524371202e+08
1.72800000e+04,-1.226295375829e+08,1.882866940228e+07,2.730111823818e+03,-4.588158218792e+00,1.240666069053e+08
1.74600000e+04,-1.221380727852e+08,1.882783666612e+07,2.730608795479e+03,-4.664615594129e+00,1.235807303927e+08
1.76400000e+04,-1.216465181843e+08,1.882699008651e+07,2.731109644326e+03,-4.741976719941e+00,1.230948073914e+08
1.78200000e+04,-1.211548730784e+08,1.882612949949e+07,2.731614416101e+03,-4.820255954598e+00,1.226088377102e+08
1.80000000e+04,-1.206631367569e+08,1.882525473848e+07,2.732123157271e+03,-4.899467943589e+00,1.221228211576e+08
1.81800000e+04,-1.201713085013e+08,1.882436563425e+07,2.732635915038e+03,-4.979627626448e+00,1.216367575422e+08
1.83600000e+04,-1.196793875841e+08,1.882346201484e+07,2.733152737355e+03,-5.060750243880e+00,1.211506466724e+08
1.85400000e+04,-1.191873732695e+08,1.882254370554e+07,2.733673672942e+03,-5.142851345089e+00,1.206644883562e+08
1.87200000e+04,-1.186952648126e+08,1.882161052878e+07,2.734198771300e+03,-5.225946795314e+00,1.201782824020e+08
1.89000000e+04,-1.182030614596e+08,1.882066230414e+07,2.734728082728e+03,-5.310052783579e+00,1.196920286180e+08
1.90800000e+04,-1.177107624475e+08,1.881969884824e+07,2.735261658337e+03,-5.395185830672e+00,1.192057268123e+08
1.92600000e+04,-1.172183670042e+08,1.881871997469e+07,2.735799550070e+03,-5.481362797345e+00,1.187193767933e+08
1.94400000e+04,-1.167258743479e+08,1.881772549405e+07,2.736341810715e+03,-5.568600892762e+00,1.182329783693e+08
1.96200000e+04,-1.162332836875e+08,1.881671521374e+07,2.736888493925e+03,-5.656917683187e+00,1.177465313488e+08
1.98000000e+04,-1.157405942220e+08,1.881568893798e+07,2.737439654233e+03,-5.746331100923e+00,1.172600355405e+08
1.99800000e+04,-1.152478051406e+08,1.881464646774e+07,2.737995347073e+03,-5.836859453522e+00,1.167734907534e+08
2.01600000e+04,-1.147549156223e+08,1.881358760065e+07,2.738555628798e+03,-5.928521433258e+00,1.162868967968e+08
2.03400000e+04,-1.142619248360e+08,1.881251213095e+07,2.739120556697e+03,-6.021336126887e+00,1.158002534802e+08
2.05200000e+04,-1.137688319402e+08,1.881141984941e+07,2.739690189016e+03,-6.115323025694e+00,1.153135606137e+08
2.07000000e+04,-1.132756360827e+08,1.881031054323e+07,2.740264584979e+03,-6.210502035840e+00,1.148268180075e+08
2.08800000e+04,-1.127823364008e+08,1.880918399602e+07,2.740843804806e+03,-6.306893489017e+00,1.143400254726e+08
2.10600000e+04,-1.122889320205e+08,1.880803998768e+07,2.741427909736e+03,-6.404518153431e+00,1.138531828206e+08
2.12400000e+04,-1.117954220570e+08,1.880687829432e+07,2.742016962047e+03,-6.503397245107e+00,1.133662898635e+08
2.14200000e+04,-1.113018056141e+08,1.880569868821e+07,2.742611025081e+03,-6.603552439549e+00,1.128793464141e+08
2.16000000e+04,-1.108080817841e+08,1.880450093765e+07,2.743210163262e+03,-6.705005883744e+00,1.123923522859e+08
2.17800000e+04,-1.103142496475e+08,1.880328480694e+07,2.743814442124e+03,-6.807780208543e+00,1.119053072934e+08
2.19600000e+04,-1.098203082731e+08,1.880205005624e+07,2.744423928332e+03,-6.911898541414e+00,1.114182112518e+08
2.21400000e+04,-1.093262567174e+08,1.880079644151e+07,2.745038689706e+03,-7.017384519601e+00,1.109310639773e+08
2.23200000e+04,-1.088320940247e+08,1.879952371441e+07,2.745658795247e+03,-7.124262303681e+00,1.104438652873e+08
2.25000000e+04,-1.083378192269e+08,1.879823162220e+07,2.746284315166e+03,-7.232556591546e+00,1.099566150001e+08
2.26800000e+04,-1.078434313428e+08,1.879691990764e+07,2.746915320902e+03,-7.342292632827e+00,1.094693129354e+08
2.28600000e+04,-1.073489293785e+08,1.879558830891e+07,2.747551885159e+03,-7.453496243768e+00,1.089819589141e+08
2.30400000e+04,-1.068543123268e+08,1.879423655947e+07,2.748194081927e+03,-7.566193822571e+00,1.084945527586e+08
2.32200000e+04,-1.063595791671e+08,1.879286438799e+07,2.748841986512e+03,-7.680412365226e+00,1.080070942926e+08
2.34000000e+04,-1.058647288652e+08,1.879147151822e+07,2.749495675567e+03,-7.796179481851e+00,1.075195833417e+08
2.35800000e+04,-1.053697603728e+08,1.879005766888e+07,2.750155227120e+03,-7.913523413551e+00,1.070320197329e+08
