t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,1.971299163180e+07,2.695447858255e+03,0.000000000000e+00,1.706176358530e+08
1.80000000e+02,-1.689897956661e+08,1.971298887016e+07,2.695711655990e+03,-3.072847015778e-02,1.701356925532e+08
3.60000000e+02,-1.685045437148e+08,1.971298055385e+07,2.695976942319e+03,-6.171918828460e-02,1.696537172107e+08
5.40000000e+02,-1.680192438770e+08,1.971296663537e+07,2.696243729941e+03,-9.297515454176e-02,1.691717123890e+08
7.20000000e+02,-1.675338958814e+08,1.971294706672e+07,2.696512031697e+03,-1.244994122232e-01,1.686896779734e+08
9.00000000e+02,-1.670484994543e+08,1.971292179933e+07,2.696781860580e+03,-1.562950485031e-01,1.682076138490e+08
1.08000000e+03,-1.665630543195e+08,1.971289078407e+07,2.697053229730e+03,-1.883651951987e-01,1.677255199001e+08
1.26000000e+03,-1.660775601986e+08,1.971285397123e+07,2.697326152437e+03,-2.207130295489e-01,1.672433960106e+08
1.44000000e+03,-1.655920168109e+08,1.971281131056e+07,2.697600642147e+03,-2.533417750082e-01,1.667612420638e+08
1.62000000e+03,-1.651064238729e+08,1.971276275118e+07,2.697876712462e+03,-2.862547020575e-01,1.662790579426e+08
1.80000000e+03,-1.646207810990e+08,1.971270824165e+07,2.698154377139e+03,-3.194551290313e-01,1.657968435291e+08
1.98000000e+03,-1.641350882009e+08,1.971264772991e+07,2.698433650099e+03,-3.529464229619e-01,1.653145987052e+08
2.16000000e+03,-1.636493448879e+08,1.971258116331e+07,2.698714545425e+03,-3.867320004410e-01,1.648323233521e+08
2.34000000e+03,-1.631635508666e+08,1.971250848856e+07,2.698997077363e+03,-4.208153284995e-01,1.643500173504e+08
2.52000000e+03,-1.626777058413e+08,1.971242965175e+07,2.699281260330e+03,-4.551999255052e-01,1.638676805804e+08
2.70000000e+03,-1.621918095133e+08,1.971234459833e+07,2.699567108910e+03,-4.898893620794e-01,1.633853129215e+08
2.88000000e+03,-1.617058615815e+08,1.971225327311e+07,2.699854637861e+03,-5.248872620327e-01,1.629029142530e+08
3.06000000e+03,-1.612198617422e+08,1.971215562022e+07,2.700143862116e+03,-5.601973033204e-01,1.624204844532e+08
3.24000000e+03,-1.607338096888e+08,1.971205158316e+07,2.700434796787e+03,-5.958232190180e-01,1.619380234004e+08
3.42000000e+03,-1.602477051121e+08,1.971194110472e+07,2.700727457164e+03,-6.317687983171e-01,1.614555309719e+08
3.60000000e+03,-1.597615477001e+08,1.971182412702e+07,2.701021858722e+03,-6.680378875430e-01,1.609730070447e+08
3.78000000e+03,-1.592753371379e+08,1.971170059147e+07,2.701318017121e+03,-7.046343911929e-01,1.604904514952e+08
3.96000000e+03,-1.587890731078e+08,1.971157043879e+07,2.701615948210e+03,-7.415622729973e-01,1.600078641993e+08
4.14000000e+03,-1.583027552895e+08,1.971143360897e+07,2.701915668030e+03,-7.788255570033e-01,1.595252450324e+08
4.32000000e+03,-1.578163833593e+08,1.971129004126e+07,2.702217192814e+03,-8.164283286815e-01,1.590425938692e+08
4.50000000e+03,-1.573299569911e+08,1.971113967419e+07,2.702520538996e+03,-8.543747360567e-01,1.585599105842e+08
4.68000000e+03,-1.568434758553e+08,1.971098244552e+07,2.702825723208e+03,-8.926689908624e-01,1.580771950511e+08
4.86000000e+03,-1.563569396197e+08,1.971081829226e+07,2.703132762286e+03,-9.313153697213e-01,1.575944471431e+08
5.04000000e+03,-1.558703479489e+08,1.971064715064e+07,2.703441673272e+03,-9.703182153507e-01,1.571116667330e+08
5.22000000e+03,-1.553837005043e+08,1.971046895609e+07,2.703752473419e+03,-1.009681937794e+00,1.566288536929e+08
5.40000000e+03,-1.548969969444e+08,1.971028364326e+07,2.704065180192e+03,-1.049411015680e+00,1.561460078946e+08
5.58000000e+03,-1.544102369243e+08,1.971009114597e+07,2.704379811273e+03,-1.089509997509e+00,1.556631292092e+08
5.76000000e+03,-1.539234200961e+08,1.970989139723e+07,2.704696384562e+03,-1.129983502966e+00,1.551802175074e+08
5.94000000e+03,-1.534365461086e+08,1.970968432920e+07,2.705014918185e+03,-1.170836224267e+00,1.546972726593e+08
6.12000000e+03,-1.529496146072e+08,1.970946987319e+07,2.705335430491e+03,-1.212072927528e+00,1.542142945345e+08
6.30000000e+03,-1.524626252341e+08,1.970924795966e+07,2.705657940061e+03,-1.253698454175e+00,1.537312830021e+08
6.48000000e+03,-1.519755776281e+08,1.970901851817e+07,2.705982465711e+03,-1.295717722373e+00,1.532482379308e+08
6.66000000e+03,-1.514884714246e+08,1.970878147740e+07,2.706309026491e+03,-1.338135728493e+00,1.527651591885e+08
6.84000000e+03,-1.510013062556e+08,1.970853676512e+07,2.706637641694e+03,-1.380957548618e+00,1.522820466430e+08
7.02000000e+03,-1.505140817495e+08,1.970828430818e+07,2.706968330859e+03,-1.424188340071e+00,1.517989001614e+08
7.20000000e+03,-1.500267975312e+08,1.970802403251e+07,2.707301113772e+03,-1.467833342983e+00,1.513157196101e+08
7.38000000e+03,-1.495394532221e+08,1.970775586305e+07,2.707636010472e+03,-1.511897881899e+00,1.508325048554e+08
7.56000000e+03,-1.490520484397e+08,1.970747972382e+07,2.707973041257e+03,-1.556387367417e+00,1.503492557629e+08
7.74000000e+03,-1.485645827983e+08,1.970719553782e+07,2.708312226682e+03,-1.601307297866e+00,1.498659721977e+08
7.92000000e+03,-1.480770559080e+08,1.970690322707e+07,2.708653587572e+03,-1.646663261019e+00,1.493826540245e+08
8.10000000e+03,-1.475894673753e+08,1.970660271259e+07,2.708997145017e+03,-1.692460935851e+00,1.488993011075e+08
8.28000000e+03,-1.471018168030e+08,1.970629391433e+07,2.709342920383e+03,-1.738706094332e+00,1.484159133104e+08
8.46000000e+03,-1.466141037899e+08,1.970597675124e+07,2.709690935315e+03,-1.785404603265e+00,1.479324904964e+08
8.64000000e+03,-1.461263279310e+08,1.970565114117e+07,2.710041211739e+03,-1.832562426163e+00,1.474490325284e+08
8.82000000e+03,-1.456384888170e+08,1.970531700089e+07,2.710393771871e+03,-1.880185625176e+00,1.469655392688e+08
9.00000000e+03,-1.451505860351e+08,1.970497424610e+07,2.710748638215e+03,-1.928280363052e+00,1.464820105794e+08
9.18000000e+03,-1.446626191679e+08,1.970462279134e+07,2.711105833577e+03,-1.976852905156e+00,1.459984463216e+08
9.36000000e+03,-1.441745877942e+08,1.970426255005e+07,2.711465381061e+03,-2.025909621531e+00,1.455148463567e+08
9.54000000e+03,-1.436864914885e+08,1.970389343449e+07,2.711827304079e+03,-2.075456989000e+00,1.450312105450e+08
9.72000000e+03,-1.431983298212e+08,1.970351535575e+07,2.712191626357e+03,-2.125501593335e+00,1.445475387469e+08
9.90000000e+03,-1.427101023580e+08,1.970312822373e+07,2.712558371936e+03,-2.176050131459e+00,1.440638308221e+08
1.00800000e+04,-1.422218086608e+08,1.970273194711e+07,2.712927565179e+03,-2.227109413713e+00,1.435800866300e+08
1.02600000e+04,-1.417334482866e+08,1.970232643333e+07,2.713299230779e+03,-2.278686366172e+00,1.430963060296e+08
1.04400000e+04,-1.412450207882e+08,1.970191158859e+07,2.713673393762e+03,-2.330788033015e+00,1.426124888794e+08
1.06200000e+04,-1.407565257138e+08,1.970148731778e+07,2.714050079492e+03,-2.383421578956e+00,1.421286350378e+08
1.08000000e+04,-1.402679626071e+08,1.970105352452e+07,2.714429313678e+03,-2.436594291733e+00,1.416447443625e+08
1.09800000e+04,-1.397793310068e+08,1.970061011109e+07,2.714811122382e+03,-2.490313584652e+00,1.411608167110e+08
1.11600000e+04,-1.392906304473e+08,1.970015697844e+07,2.715195532020e+03,-2.544586999199e+00,1.406768519405e+08
1.13400000e+04,-1.388018604580e+08,1.969969402612e+07,2.715582569372e+03,-2.599422207711e+00,1.401928499079e+08
1.15200000e+04,-1.383130205635e+08,1.969922115232e+07,2.715972261587e+03,-2.654827016119e+00,1.397088104695e+08
1.17000000e+04,-1.378241102833e+08,1.969873825380e+07,2.716364636189e+03,-2.710809366748e+00,1.392247334817e+08
1.18800000e+04,-1.373351291322e+08,1.969824522587e+07,2.716759721086e+03,-2.767377341195e+00,1.387406188002e+08
1.20600000e+04,-1.368460766198e+08,1.969774196238e+07,2.717157544571e+03,-2.824539163273e+00,1.382564662807e+08
1.22400000e+04,-1.363569522505e+08,1.969722835569e+07,2.717558135337e+03,-2.882303202032e+00,1.377722757785e+08
1.24200000e+04,-1.358677555237e+08,1.969670429664e+07,2.717961522474e+03,-2.940677974849e+00,1.372880471486e+08
1.26000000e+04,-1.353784859333e+08,1.969616967452e+07,2.718367735486e+03,-2.999672150601e+00,1.368037802459e+08
1.27800000e+04,-1.348891429680e+08,1.969562437703e+07,2.718776804291e+03,-3.059294552915e+00,1.363194749250e+08
1.29600000e+04,-1.343997261110e+08,1.969506829031e+07,2.719188759232e+03,-3.119554163501e+00,1.358351310402e+08
1.31400000e+04,-1.339102348401e+08,1.969450129882e+07,2.719603631083e+03,-3.180460125566e+00,1.353507484457e+08
1.33200000e+04,-1.334206686273e+08,1.969392328538e+07,2.720021451057e+03,-3.242021747316e+00,1.348663269956e+08
1.35000000e+04,-1.329310269393e+08,1.969333413114e+07,2.720442250814e+03,-3.304248505553e+00,1.343818665436e+08
1.36800000e+04,-1.324413092367e+08,1.969273371550e+07,2.720866062470e+03,-3.367150049349e+00,1.338973669434e+08
1.38600000e+04,-1.319515149746e+08,1.969212191611e+07,2.721292918602e+03,-3.430736203834e+00,1.334128280486e+08
1.40400000e+04,-1.314616436018e+08,1.969149860885e+07,2.721722852261e+03,-3.495016974060e+00,1.329282497128e+08
1.42200000e+04,-1.309716945615e+08,1.969086366778e+07,2.722155896978e+03,-3.560002548983e+00,1.324436317891e+08
1.44000000e+04,-1.304816672906e+08,1.969021696509e+07,2.722592086769e+03,-3.625703305538e+00,1.319589741310e+08
1.45800000e+04,-1.299915612200e+08,1.968955837111e+07,2.723031456153e+03,-3.692129812818e+00,1.314742765918e+08
