t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,2.127301255230e+06,2.695447858255e+03,0.000000000000e+00,1.694883507372e+08
1.80000000e+02,-1.689897951879e+08,2.127300951204e+06,2.695716979484e+03,-3.382940074261e-03,1.690031869465e+08
3.60000000e+02,-1.685045417947e+08,2.127300035619e+06,2.695987650278e+03,-6.795141319006e-03,1.685179720963e+08
5.40000000e+02,-1.680192395403e+08,2.127298503180e+06,2.696259884215e+03,-1.023694416223e-02,1.680327086036e+08
7.20000000e+02,-1.675338881420e+08,2.127296348526e+06,2.696533695033e+03,-1.370869402584e-02,1.675473961876e+08
9.00000000e+02,-1.670484873149e+08,2.127293566236e+06,2.696809096635e+03,-1.721074141423e-02,1.670620345653e+08
1.08000000e+03,-1.665630367712e+08,2.127290150824e+06,2.697086103088e+03,-2.074344200480e-02,1.665766234509e+08
1.26000000e+03,-1.660775362209e+08,2.127286096739e+06,2.697364728627e+03,-2.430715674026e-02,1.660911625562e+08
1.44000000e+03,-1.655919853712e+08,2.127281398368e+06,2.697644987656e+03,-2.790225192298e-02,1.656056515906e+08
1.62000000e+03,-1.651063839267e+08,2.127276050027e+06,2.697926894754e+03,-3.152909931123e-02,1.651200902605e+08
1.80000000e+03,-1.646207315896e+08,2.127270045968e+06,2.698210464674e+03,-3.518807621753e-02,1.646344782702e+08
1.98000000e+03,-1.641350280591e+08,2.127263380373e+06,2.698495712348e+03,-3.887956560900e-02,1.641488153210e+08
2.16000000e+03,-1.636492730319e+08,2.127256047354e+06,2.698782652888e+03,-4.260395620996e-02,1.636631011116e+08
2.34000000e+03,-1.631634662018e+08,2.127248040954e+06,2.699071301591e+03,-4.636164260657e-02,1.631773353380e+08
2.52000000e+03,-1.626776072602e+08,2.127239355145e+06,2.699361673938e+03,-5.015302535384e-02,1.626915176935e+08
2.70000000e+03,-1.621916958952e+08,2.127229983823e+06,2.699653785602e+03,-5.397851108486e-02,1.622056478686e+08
2.88000000e+03,-1.617057317923e+08,2.127219920814e+06,2.699947652447e+03,-5.783851262241e-02,1.617197255510e+08
3.06000000e+03,-1.612197146343e+08,2.127209159866e+06,2.700243290532e+03,-6.173344909294e-02,1.612337504254e+08
3.24000000e+03,-1.607336441008e+08,2.127197694654e+06,2.700540716114e+03,-6.566374604308e-02,1.607477221739e+08
3.42000000e+03,-1.602475198686e+08,2.127185518774e+06,2.700839945652e+03,-6.962983555863e-02,1.602616404754e+08
3.60000000e+03,-1.597613416114e+08,2.127172625744e+06,2.701140995811e+03,-7.363215638619e-02,1.597755050060e+08
3.78000000e+03,-1.592751090001e+08,2.127159009001e+06,2.701443883459e+03,-7.767115405737e-02,1.592893154389e+08
3.96000000e+03,-1.587888217024e+08,2.127144661904e+06,2.701748625680e+03,-8.174728101582e-02,1.588030714440e+08
4.14000000e+03,-1.583024793829e+08,2.127129577729e+06,2.702055239770e+03,-8.586099674700e-02,1.583167726884e+08
4.32000000e+03,-1.578160817030e+08,2.127113749666e+06,2.702363743242e+03,-9.001276791081e-02,1.578304188360e+08
4.50000000e+03,-1.573296283212e+08,2.127097170825e+06,2.702674153832e+03,-9.420306847718e-02,1.573440095475e+08
4.68000000e+03,-1.568431188924e+08,2.127079834225e+06,2.702986489499e+03,-9.843237986470e-02,1.568575444804e+08
4.86000000e+03,-1.563565530687e+08,2.127061732802e+06,2.703300768431e+03,-1.027011910822e-01,1.563710232891e+08
5.04000000e+03,-1.558699304984e+08,2.127042859401e+06,2.703617009047e+03,-1.070099988739e-01,1.558844456247e+08
5.22000000e+03,-1.553832508269e+08,2.127023206777e+06,2.703935230004e+03,-1.113593078670e-01,1.553978111350e+08
5.40000000e+03,-1.548965136960e+08,2.127002767594e+06,2.704255450195e+03,-1.157496307235e-01,1.549111194644e+08
5.58000000e+03,-1.544097187441e+08,2.126981534422e+06,2.704577688760e+03,-1.201814882953e-01,1.544243702538e+08
5.76000000e+03,-1.539228656061e+08,2.126959499739e+06,2.704901965084e+03,-1.246554097818e-01,1.539375631410e+08
5.94000000e+03,-1.534359539135e+08,2.126936655923e+06,2.705228298803e+03,-1.291719328926e-01,1.534506977601e+08
6.12000000e+03,-1.529489832942e+08,2.126912995259e+06,2.705556709809e+03,-1.337316040130e-01,1.529637737415e+08
6.30000000e+03,-1.524619533725e+08,2.126888509928e+06,2.705887218255e+03,-1.383349783730e-01,1.524767907125e+08
6.48000000e+03,-1.519748637689e+08,2.126863192015e+06,2.706219844557e+03,-1.429826202214e-01,1.519897482963e+08
6.66000000e+03,-1.514877141005e+08,2.126837033499e+06,2.706554609398e+03,-1.476751030027e-01,1.515026461128e+08
6.84000000e+03,-1.510005039803e+08,2.126810026257e+06,2.706891533735e+03,-1.524130095384e-01,1.510154837779e+08
7.02000000e+03,-1.505132330178e+08,2.126782162060e+06,2.707230638802e+03,-1.571969322133e-01,1.505282609040e+08
7.20000000e+03,-1.500259008185e+08,2.126753432569e+06,2.707571946115e+03,-1.620274731648e-01,1.500409770995e+08
7.38000000e+03,-1.495385069841e+08,2.126723829340e+06,2.707915477477e+03,-1.669052444778e-01,1.495536319691e+08
7.56000000e+03,-1.490510511122e+08,2.126693343815e+06,2.708261254982e+03,-1.718308683835e-01,1.490662251134e+08
