t,x,y,v_x,v_y,d
0.00000000e+00,-1.694750000000e+08,2.978221757322e+06,2.695447858255e+03,0.000000000000e+00,1.695011664557e+08
1.80000000e+02,-1.689897951934e+08,2.978221331782e+06,2.695716918270e+03,-4.735038826659e-03,1.690160394545e+08
3.60000000e+02,-1.685045418168e+08,2.978220050256e+06,2.695987527143e+03,-9.511027718145e-03,1.685308616133e+08
5.40000000e+02,-1.680192395901e+08,2.978217905331e+06,2.696259698441e+03,-1.432844300143e-02,1.680456353506e+08
7.20000000e+02,-1.675338882310e+08,2.978214889507e+06,2.696533445893e+03,-1.918776798934e-02,1.675603603877e+08
9.00000000e+02,-1.670484874545e+08,2.978210995195e+06,2.696808783391e+03,-2.408949310451e-02,1.670750364434e+08
1.08000000e+03,-1.665630369730e+08,2.978206214720e+06,2.697085724990e+03,-2.903411600587e-02,1.665896632340e+08
1.26000000e+03,-1.660775364967e+08,2.978200540314e+06,2.697364284914e+03,-3.402214171784e-02,1.661042404733e+08
1.44000000e+03,-1.655919857328e+08,2.978193964119e+06,2.697644477558e+03,-3.905408276219e-02,1.656187678726e+08
1.62000000e+03,-1.651063843862e+08,2.978186478184e+06,2.697926317488e+03,-4.413045929268e-02,1.651332451406e+08
1.80000000e+03,-1.646207321591e+08,2.978178074461e+06,2.698209819444e+03,-4.925179923256e-02,1.646476719835e+08
1.98000000e+03,-1.641350287509e+08,2.978168744811e+06,2.698494998348e+03,-5.441863841497e-02,1.641620481048e+08
2.16000000e+03,-1.636492738584e+08,2.978158480994e+06,2.698781869300e+03,-5.963152072632e-02,1.636763732053e+08
2.34000000e+03,-1.631634671758e+08,2.978147274673e+06,2.699070447583e+03,-6.489099825274e-02,1.631906469832e+08
2.52000000e+03,-1.626776083942e+08,2.978135117411e+06,2.699360748668e+03,-7.019763142964e-02,1.627048691339e+08
2.70000000e+03,-1.621916972022e+08,2.978122000668e+06,2.699652788213e+03,-7.555198919448e-02,1.622190393502e+08
2.88000000e+03,-1.617057332855e+08,2.978107915802e+06,2.699946582070e+03,-8.095464914285e-02,1.617331573220e+08
3.06000000e+03,-1.612197163268e+08,2.978092854066e+06,2.700242146284e+03,-8.640619768790e-02,1.612472227364e+08
3.24000000e+03,-1.607336460059e+08,2.978076806607e+06,2.700539497100e+03,-9.190723022319e-02,1.607612352775e+08
3.42000000e+03,-1.602475219999e+08,2.978059764464e+06,2.700838650962e+03,-9.745835128915e-02,1.602751946269e+08
3.60000000e+03,-1.597613439827e+08,2.978041718564e+06,2.701139624520e+03,-1.030601747431e-01,1.597891004628e+08
3.78000000e+03,-1.592751116252e+08,2.978022659727e+06,2.701442434632e+03,-1.087133239331e-01,1.593029524608e+08
3.96000000e+03,-1.587888245953e+08,2.978002578656e+06,2.701747098363e+03,-1.144184318752e-01,1.588167502933e+08
4.14000000e+03,-1.583024825578e+08,2.977981465941e+06,2.702053632996e+03,-1.201761414355e-01,1.583304936298e+08
4.32000000e+03,-1.578160851744e+08,2.977959312055e+06,2.702362056029e+03,-1.259871055150e-01,1.578441821367e+08
4.50000000e+03,-1.573296321036e+08,2.977936107354e+06,2.702672385183e+03,-1.318519872396e-01,1.573578154771e+08
4.68000000e+03,-1.568431230006e+08,2.977911842070e+06,2.702984638400e+03,-1.377714601539e-01,1.568713933113e+08
4.86000000e+03,-1.563565575176e+08,2.977886506318e+06,2.703298833853e+03,-1.437462084189e-01,1.563849152960e+08
5.04000000e+03,-1.558699353031e+08,2.977860090083e+06,2.703614989946e+03,-1.497769270152e-01,1.558983810851e+08
